word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
choose,1k_most_used,,,Every person will choose his own doctor and hospital '' .,Every person will ****** his own doctor and hospital '' .,I will choose the red crayon.,I will ****** the red crayon.
chord,1k_most_used,,,"They applauded every number , not only at its conclusion but also at the first statement of the theme -- sometimes at the first chord .","They applauded every number , not only at its conclusion but also at the first statement of the theme -- sometimes at the first ***** .",Play a chord on the piano.,Play a ***** on the piano.
circle,1k_most_used,,,"A 62-year-old Smithfield man , Lester E. Stone of 19 Beverly Circle , was in satisfactory condition last night at Our Lady of Fatima Hospital , North Providence , with injuries suffered when a car he was driving struck a utility pole on Woonasquatucket Avenue in North Providence near Stevens Street .","A 62-year-old smithfield man , lester e. stone of 19 beverly ****** , was in satisfactory condition last night at our lady of fatima hospital , north providence , with injuries suffered when a car he was driving struck a utility pole on woonasquatucket avenue in north providence near stevens street .",Draw a circle on the paper.,Draw a ****** on the paper.
city,1k_most_used,,,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said in term-end presentments that the **** executive committee , which had over-all charge of the election , `` deserves the praise and thanks of the **** of atlanta '' for the manner in which the election was conducted .",New York is a big city.,New york is a big ****.
claim,1k_most_used,,,"At Berger's direction , the city also intervened in the Hughes bankruptcy case in U. S. District Court in a move preliminary to filing a claim there .","At berger's direction , the city also intervened in the hughes bankruptcy case in u. s. district court in a move preliminary to filing a ***** there .",I claim this seat for me.,I ***** this seat for me.
class,1k_most_used,,,"Stengel inherited DiMaggio , Rizzuto , but he brought up Mantle from Class C to the majors , from Joplin to New York .","Stengel inherited dimaggio , rizzuto , but he brought up mantle from ***** c to the majors , from joplin to new york .",We have math class today.,We have math ***** today.
clean,1k_most_used,,,"`` We must keep the bloodstream of New Jersey clean '' , the former Superior Court judge said .","`` we must keep the bloodstream of new jersey ***** '' , the former superior court judge said .",I clean my room every Saturday.,I ***** my room every saturday.
clear,1k_most_used,,,"But he hastened to add that , if United States policies were not always clear , despite Mr. Rusk's analysis of the various global danger points and setbacks for the West , this may merely mean the new administration has not yet firmly fixed its policy .","But he hastened to add that , if united states policies were not always ***** , despite mr. rusk's analysis of the various global danger points and setbacks for the west , this may merely mean the new administration has not yet firmly fixed its policy .",The sky is clear today.,The sky is ***** today.
climb,1k_most_used,,,"Those who are too weak , should climb on the chair and , starting at the top of the chin , let themselves slowly down .","Those who are too weak , should ***** on the chair and , starting at the top of the chin , let themselves slowly down .",I climb trees with my friends.,I ***** trees with my friends.
clock,1k_most_used,,,"Although he never gets to play while the clock is running , he gets a big kick -- several every Saturday , in fact -- out of football .","Although he never gets to play while the ***** is running , he gets a big kick -- several every saturday , in fact -- out of football .",Look at the clock for the time.,Look at the ***** for the time.
close,1k_most_used,,,"Dr. Clark will succeed Dr. J. R. McLemore , who will retire at the close of the present school term .","Dr. clark will succeed dr. j. r. mclemore , who will retire at the ***** of the present school term .","Close the door gently, please.","***** the door gently, please."
clothe,1k_most_used,,,It won't develop until he has words with which to clothe it .,It won't develop until he has words with which to ****** it .,We clothe ourselves with clothes.,We ****** ourselves with ******s.
cloud,1k_most_used,,,Hengesbach has been living under a cloud ever since .,Hengesbach has been living under a ***** ever since .,Look at the fluffy cloud.,Look at the fluffy *****.
coast,1k_most_used,,,"Without dissent , senators passed a bill by Sen. A. R. Schwartz of Galveston authorizing establishment in the future of a school for the mentally retarded in the Gulf Coast district .","Without dissent , senators passed a bill by sen. a. r. schwartz of galveston authorizing establishment in the future of a school for the mentally retarded in the gulf ***** district .",Let's visit the beach coast.,Let's visit the beach *****.
coat,1k_most_used,,,"They told police the intruders took a mink coat worth $700 , a black Persian lamb jacket worth $450 ; ;","They told police the intruders took a mink **** worth $700 , a black persian lamb jacket worth $450 ; ;",Wear your coat; it's cold.,Wear your ****; it's cold.
cold,1k_most_used,,,`` I told him who I was and he was quite cold .,`` i told him who i was and he was quite **** .,Ice cream helps when it's cold.,Ice cream helps when it's ****.
collect,1k_most_used,,,"Albert John Luthuli , awarded a Nobel prize for his South African integration struggles , has to get permission to fly to collect his honor .","Albert john luthuli , awarded a nobel prize for his south african integration struggles , has to get permission to fly to ******* his honor .",I collect stamps as a hobby.,I ******* stamps as a hobby.
colony,1k_most_used,,,Both Miss Garson and her oilman-rancher husband are active supporters of Boys Clubs of America and patrons of the vivid art and opera colony that flourishes in New Mexico .,Both miss garson and her oilman-rancher husband are active supporters of boys clubs of america and patrons of the vivid art and opera ****** that flourishes in new mexico .,Ants live in a colony.,Ants live in a ******.
color,1k_most_used,,,"The volume of ADC cases will decrease , Martin reported , when the community is able to deal effectively with two problems : Relatively limited skills and discrimination in employment because of color .","The volume of adc cases will decrease , martin reported , when the community is able to deal effectively with two problems : relatively limited skills and discrimination in employment because of ***** .",Blue is my favorite color.,Blue is my favorite *****.
column,1k_most_used,,,"Charley Simonelli , top Universal-International film studio exec , makes an honest man out of this column .","Charley simonelli , top universal-international film studio exec , makes an honest man out of this ****** .",Write numbers in a column.,Write numbers in a ******.
come,1k_most_used,,,"This increase in the `` threshold '' , as the conventional forces strengthening is called , will prove one of the alliance's most difficult problems in the months to come .","This increase in the `` threshold '' , as the conventional forces strengthening is called , will prove one of the alliance's most difficult problems in the months to **** .",Come to the park with me.,**** to the park with me.
common,1k_most_used,,,`` How can a man with any degree of common decency charge this '' ? ?,`` how can a man with any degree of ****** decency charge this '' ? ?,It's common to brush teeth.,It's ****** to brush teeth.
company,1k_most_used,,,"Appointment of William S. Pfaff Jr. , 41 , as promotion manager of The Times-Picayune Publishing Company was announced Saturday by John F. Tims , president of the company .","Appointment of william s. pfaff jr. , 41 , as promotion manager of the times-picayune publishing ******* was announced saturday by john f. tims , president of the ******* .",Dad works for a big company.,Dad works for a big *******.
compare,1k_most_used,,,"By leaving our doors open the United States gives other peoples the opportunity to see us and to compare , he said .","By leaving our doors open the united states gives other peoples the opportunity to see us and to ******* , he said .",Let's compare our drawings.,Let's ******* our drawings.
complete,1k_most_used,,,The resolution urges the governor to have a complete study of the Sunday sales laws made with an eye to their revision at the next session of the legislature .,The resolution urges the governor to have a ******** study of the sunday sales laws made with an eye to their revision at the next session of the legislature .,I complete my homework every day.,I ******** my homework every day.
condition,1k_most_used,,,"A bright sun and brisk wind had the track in a fast condition for the first time this week and 8,280 St. Patty Day celebrants bet $842,617 on the well-prepared program .","A bright sun and brisk wind had the track in a fast ********* for the first time this week and 8,280 st. patty day celebrants bet $842,617 on the well-prepared program .",Keep your room in good condition.,Keep your room in good *********.
connect,1k_most_used,,,"Other witnesses , after appearances before the jury , which reportedly is probing into possible income tax violations , disclosed that government prosecutors were attempting to connect Stein and his company with a number of gangsters , including Glimco and Alex .","Other witnesses , after appearances before the jury , which reportedly is probing into possible income tax violations , disclosed that government prosecutors were attempting to ******* stein and his company with a number of gangsters , including glimco and alex .",Connect the dots to see the picture.,******* the dots to see the picture.
consider,1k_most_used,,,"If the city council fails to consider appointment of a full-time CD director , Mr. Hawksley said , then he plans to call a meeting early in September so that a civil defense organization will be developed locally .","If the city council fails to ******** appointment of a full-time cd director , mr. hawksley said , then he plans to call a meeting early in september so that a civil defense organization will be developed locally .",Consider sharing your toys.,******** sharing your toys.
consonant,1k_most_used,,,Her miraculous progress in material achievements flows from other qualities far more worthy and substantial : adherence to principles and methods consonant with our religious philosophy ; ;,Her miraculous progress in material achievements flows from other qualities far more worthy and substantial : adherence to principles and methods ********* with our religious philosophy ; ;,"""B"" is a consonant letter.","""b"" is a ********* letter."
contain,1k_most_used,,,"A modern cotton gin plant costs in the neighborhood of $250,000 , and it's a safe assumption that a large percentage of new gins in the U.S. and foreign countries contain machinery made in this area .","A modern cotton gin plant costs in the neighborhood of $250,000 , and it's a safe assumption that a large percentage of new gins in the u.s. and foreign countries ******* machinery made in this area .",Boxes contain toys inside.,Boxes ******* toys inside.
continent,1k_most_used,,,"He was able to smell a bargain -- and a masterpiece -- a continent away , and the Museum of Modern Art's Alfred Barr said of him : `` I have never mentioned a new artist that Thompson didn't know about '' .","He was able to smell a bargain -- and a masterpiece -- a ********* away , and the museum of modern art's alfred barr said of him : `` i have never mentioned a new artist that thompson didn't know about '' .",Africa is a large continent.,Africa is a large *********.
continue,1k_most_used,,,`` Failure to do this will continue to place a disproportionate burden '' on Fulton taxpayers .,`` failure to do this will ******** to place a disproportionate burden '' on fulton taxpayers .,Continue reading your book.,******** reading your book.
control,1k_most_used,,,"The inclination here is to accept a de facto cease-fire in Laos , rather than continue to insist on a verification of the cease-fire by the international control commission before participating in the Geneva conference .","The inclination here is to accept a de facto cease-fire in laos , rather than continue to insist on a verification of the cease-fire by the international ******* commission before participating in the geneva conference .",I have control of my toys.,I have ******* of my toys.
cook,1k_most_used,,,"The report , culminating a year long study of the ADC program in Cook county by a New York City welfare consulting firm , listed 10 long range recommendations designed to reduce the soaring ADC case load .","The report , culminating a year long study of the adc program in **** county by a new york city welfare consulting firm , listed 10 long range recommendations designed to reduce the soaring adc case load .",Mom will cook dinner tonight.,Mom will **** dinner tonight.
cool,1k_most_used,,,"Soviet Premier Khrushchev sent New Year's hopes for peace to President-elect Kennedy , and got a cool acknowledgment in reply .","Soviet premier khrushchev sent new year's hopes for peace to president-elect kennedy , and got a **** acknowledgment in reply .",Ice cream is cool and sweet.,Ice cream is **** and sweet.
copy,1k_most_used,,,A copy was released to the press .,A **** was released to the press .,I will copy the drawing.,I will **** the drawing.
corn,1k_most_used,,,"Now , if Morton's newest product , a corn chip known as Chip-o's , turns out to sell as well as its stock did , the stock may turn out to be worth every cent of the prices that the avid buyers bid it up to .","Now , if morton's newest product , a **** chip known as chip-o's , turns out to sell as well as its stock did , the stock may turn out to be worth every cent of the prices that the avid buyers bid it up to .",I like butter on corn.,I like butter on ****.
corner,1k_most_used,,,-- Richard J. Hughes made his Morris County debut in his bid for the Democratic gubernatorial nomination here last night with a pledge `` to carry the issues to every corner of the state '' .,-- richard j. hughes made his morris county debut in his bid for the democratic gubernatorial nomination here last night with a pledge `` to carry the issues to every ****** of the state '' .,Find me in the corner.,Find me in the ******.
correct,1k_most_used,,,He assured Mr. Martinelli and the council that he would study the correct method and report back to the council as soon as possible .,He assured mr. martinelli and the council that he would study the ******* method and report back to the council as soon as possible .,Circle the correct answer.,Circle the ******* answer.
cost,1k_most_used,,,"However , the jury said it believes `` these two offices should be combined to achieve greater efficiency and reduce the cost of administration '' .","However , the jury said it believes `` these two offices should be combined to achieve greater efficiency and reduce the **** of administration '' .",The toy's cost is five dollars.,The toy's **** is five dollars.
cotton,1k_most_used,,,Moritz doesn't even have a nose guard or hip pads but he's one of the most valuable members of the Longhorn team that will be heavily favored Saturday over Oklahoma in the Cotton Bowl .,Moritz doesn't even have a nose guard or hip pads but he's one of the most valuable members of the longhorn team that will be heavily favored saturday over oklahoma in the ****** bowl .,My shirt is made of cotton.,My shirt is made of ******.
count,1k_most_used,,,They count on the aid of the neutral countries attending the Geneva conference to achieve this .,They ***** on the aid of the neutral *****ries attending the geneva conference to achieve this .,Count your toys before bed.,***** your toys before bed.
country,1k_most_used,,,"His reply , he said , was that he agreed to the need for unity in the country now .","His reply , he said , was that he agreed to the need for unity in the ******* now .",We live in a beautiful country.,We live in a beautiful *******.
course,1k_most_used,,,"Of course , 1600 Pennsylvania , the White House , is the most famous address of the free world .","Of ****** , 1600 pennsylvania , the white house , is the most famous address of the free world .",The ship changes its course.,The ship changes its ******.
cover,1k_most_used,,,"Rep. James Cotten of Weatherford insisted that a water development bill passed by the Texas House of Representatives was an effort by big cities like Dallas and Fort Worth to cover up places like Paradise , a Wise County hamlet of 250 people .","Rep. james cotten of weatherford insisted that a water development bill passed by the texas house of representatives was an effort by big cities like dallas and fort worth to ***** up places like paradise , a wise county hamlet of 250 people .",Use a blanket to cover up.,Use a blanket to ***** up.
cow,1k_most_used,,,Jay Gould kept a cow on one deluxer .,Jay gould kept a *** on one deluxer .,"A cow says ""moo.""","A *** says ""moo."""
crease,1k_most_used,,,A faint crease appeared between the man's eyebrows .,A faint ****** appeared between the man's eyebrows .,Fold along the crease.,Fold along the ******.
create,1k_most_used,,,Harvey said his objective was to create a better public image for welfare '' .,Harvey said his objective was to ****** a better public image for welfare '' .,I will create a drawing.,I will ****** a drawing.
crop,1k_most_used,,,"`` But it did destroy the natural controls of a borer and released a new plague that wrecked a sugar cane crop '' , he said .","`` but it did destroy the natural controls of a borer and released a new plague that wrecked a sugar cane **** '' , he said .",Farmers grow crops on fields.,Farmers grow ****s on fields.
cross,1k_most_used,,,He is credited with setting up an annual co-operative fire prevention program in co-operation with the Red Cross and State Department of Education .,He is credited with setting up an annual co-operative fire prevention program in co-operation with the red ***** and state department of education .,Cross the street safely.,***** the street safely.
crowd,1k_most_used,,,"When the crowd was asked whether it wanted to wait one more term to make the race , it voted no -- and there were no dissents .","When the ***** was asked whether it wanted to wait one more term to make the race , it voted no -- and there were no dissents .",A big crowd watched the parade.,A big ***** watched the parade.
cry,1k_most_used,,,"Johnny Ray , at the same L. R. , has something to cry about .","Johnny ray , at the same l. r. , has something to *** about .",Babies cry when they're hungry.,Babies *** when they're hungry.
current,1k_most_used,,,Daniel termed `` extremely conservative '' his estimate that it would produce 17 million dollars to help erase an anticipated deficit of 63 million dollars at the end of the current fiscal year next Aug. 31 .,Daniel termed `` extremely conservative '' his estimate that it would produce 17 million dollars to help erase an anticipated deficit of 63 million dollars at the end of the ******* fiscal year next aug. 31 .,Fish swim against the current.,Fish swim against the *******.
cut,1k_most_used,,,"`` This is a very modest proposal cut to meet absolutely essential needs '' , he said , `` and with sufficient ' deductible ' requirements to discourage any malingering or unnecessary overcrowding of our hospitals .","`` this is a very modest proposal *** to meet absolutely essential needs '' , he said , `` and with sufficient ' deductible ' requirements to discourage any malingering or unnecessary overcrowding of our hospitals .",I cut paper with scissors.,I *** paper with scissors.
dad,1k_most_used,,,`` Dad '' ! !,`` *** '' ! !,My dad reads me stories.,My *** reads me stories.
dance,1k_most_used,,,"A crowd of 1,400 is expected for the ceremonies , which will be followed by the show in which the writers will lampoon baseball personalities in skit , dance and song .","A crowd of 1,400 is expected for the ceremonies , which will be followed by the show in which the writers will lampoon baseball personalities in skit , ***** and song .",We dance in music class.,We ***** in music class.
danger,1k_most_used,,,"But he hastened to add that , if United States policies were not always clear , despite Mr. Rusk's analysis of the various global danger points and setbacks for the West , this may merely mean the new administration has not yet firmly fixed its policy .","But he hastened to add that , if united states policies were not always clear , despite mr. rusk's analysis of the various global ****** points and setbacks for the west , this may merely mean the new administration has not yet firmly fixed its policy .",Do not touch; it's danger.,Do not touch; it's ******.
dark,1k_most_used,,,The infield was well flooded but the expanded outfield was much too dark .,The infield was well flooded but the expanded outfield was much too **** .,It gets dark at night.,It gets **** at night.
day,1k_most_used,,,Schley County Rep. B. D. Pelham will offer a resolution Monday in the House to rescind the body's action of Friday in voting itself a $10 per day increase in expense allowances .,Schley county rep. b. d. pelham will offer a resolution mon*** in the house to rescind the body's action of fri*** in voting itself a $10 per *** increase in expense allowances .,I play outside every day.,I play outside every ***.
dead,1k_most_used,,,Mitchell said the closeness of the outcome in last fall's Presidential election did not mean that Eisenhower Republicanism was a dead issue .,Mitchell said the closeness of the outcome in last fall's presidential election did not mean that eisenhower republicanism was a **** issue .,The battery is dead.,The battery is ****.
deal,1k_most_used,,,"The volume of ADC cases will decrease , Martin reported , when the community is able to deal effectively with two problems : Relatively limited skills and discrimination in employment because of color .","The volume of adc cases will decrease , martin reported , when the community is able to **** effectively with two problems : relatively limited skills and discrimination in employment because of color .",Let's make a deal.,Let's make a ****.
dear,1k_most_used,,,"`` Dear Doctors : We learned this year that our older son , Daniel , is autistic .","`` **** doctors : we learned this year that our older son , daniel , is autistic .",My dear friend is kind.,My **** friend is kind.
death,1k_most_used,,,"The former county school superintendent , George P. Callan , shot himself to death March 18 , four days after he resigned his post in a dispute with the county school board .","The former county school superintendent , george p. callan , shot himself to ***** march 18 , four days after he resigned his post in a dispute with the county school board .",Flowers wilt upon death.,Flowers wilt upon *****.
decide,1k_most_used,,,"There are many who predict that should Barnett decide to call the Legislature back into special session , it will really throw his administration into a scramble .","There are many who predict that should barnett ****** to call the legislature back into special session , it will really throw his administration into a scramble .",You decide the game.,You ****** the game.
decimal,1k_most_used,,,"For use in formulas , fractions should be converted to their decimal equivalents .","For use in formulas , fractions should be converted to their ******* equivalents .",We learned about decimal points.,We learned about ******* points.
deep,1k_most_used,,,"In the ninth , Robinson led off with his second double of the night , a blast off the fence 375 feet deep into left .","In the ninth , robinson led off with his second double of the night , a blast off the fence 375 feet **** into left .",The pool is very deep.,The pool is very ****.
degree,1k_most_used,,,"`` A person with a master's degree in physics , chemistry , math or English , yet who has not taken Education courses , is not permitted to teach in the public schools '' , said Grover .","`` a person with a master's ****** in physics , chemistry , math or english , yet who has not taken education courses , is not permitted to teach in the public schools '' , said grover .",It's 90 degrees outside.,It's 90 ******s outside.
depend,1k_most_used,,,"`` We must solve the problems which have forced these people to depend upon ADC for subsistence '' , Martin said .","`` we must solve the problems which have forced these people to ****** upon adc for subsistence '' , martin said .",Plants depend on sunlight.,Plants ****** on sunlight.
describe,1k_most_used,,,The repeated efforts in Christian history to describe death as altogether the consequence of human sin show that these two aspects of death cannot be separated .,The repeated efforts in christian history to ******** death as altogether the consequence of human sin show that these two aspects of death cannot be separated .,Describe your favorite toy.,******** your favorite toy.
desert,1k_most_used,,,"John Salvador , a farmer from Palm Desert , Calif. , was sitting up front and could see through the door as the trio entered the cockpit .","John salvador , a farmer from palm ****** , calif. , was sitting up front and could see through the door as the trio entered the cockpit .",A desert is very dry.,A ****** is very dry.
design,1k_most_used,,,With the machinery went a complete design for the hull .,With the machinery went a complete ****** for the hull .,I design my dream house.,I ****** my dream house.
determine,1k_most_used,,,"Before adjournment Monday afternoon , the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made .","Before adjournment monday afternoon , the senate is expected to approve a study of the number of legislators allotted to rural and urban areas to ********* what adjustments should be made .",Let's determine the best answer.,Let's ********* the best answer.
develop,1k_most_used,,,"`` We must persuade them to enjoy a way of life which , if not identical , is congenial with ours '' , he said but adding that if they do not develop the kind of society they themselves want it will lack ritiuality and loyalty .","`` we must persuade them to enjoy a way of life which , if not identical , is congenial with ours '' , he said but adding that if they do not ******* the kind of society they themselves want it will lack ritiuality and loyalty .",Plants develop from seeds.,Plants ******* from seeds.
dictionary,1k_most_used,,,"`` The Dictionary Of Occupational Titles '' published by the U. S. Department of Labor describes him as follows : `` Designs , plans and furnishes interiors of houses , commercial and institutional structures , hotels , clubs , ships , theaters , as well as set decorations for motion picture arts and television .","`` the ********** of occupational titles '' published by the u. s. department of labor describes him as follows : `` designs , plans and furnishes interiors of houses , commercial and institutional structures , hotels , clubs , ships , theaters , as well as set decorations for motion picture arts and television .",Use a dictionary to find words.,Use a ********** to find words.
die,1k_most_used,,,`` I will die rich '' .,`` i will *** rich '' .,Flowers die without water.,Flowers *** without water.
differ,1k_most_used,,,"In point of fact , the race-drivers one knows are nearly always intelligent , healthy technicians who differ from other technicians only in the depth of the passion they feel for the work by which they live .","In point of fact , the race-drivers one knows are nearly always intelligent , healthy technicians who ****** from other technicians only in the depth of the passion they feel for the work by which they live .",Cats differ from dogs.,Cats ****** from dogs.
difficult,1k_most_used,,,"This increase in the `` threshold '' , as the conventional forces strengthening is called , will prove one of the alliance's most difficult problems in the months to come .","This increase in the `` threshold '' , as the conventional forces strengthening is called , will prove one of the alliance's most ********* problems in the months to come .",This puzzle is difficult.,This puzzle is *********.
direct,1k_most_used,,,"The President said he will also propose increasing , by an unspecified amount , the 540 million dollars in the 1961-62 budget for direct government research in medicine .","The president said he will also propose increasing , by an unspecified amount , the 540 million dollars in the 1961-62 budget for ****** government research in medicine .",Follow the signs to direct you.,Follow the signs to ****** you.
discuss,1k_most_used,,,"At the workshop , Mrs. Schenk will discuss `` the board and the staff , librarian-board relationships , personnel policies , how good is our librarian and staff , how good am I as a library board member and how good is our library '' .","At the workshop , mrs. schenk will ******* `` the board and the staff , librarian-board relationships , personnel policies , how good is our librarian and staff , how good am i as a library board member and how good is our library '' .",Let's discuss our project.,Let's ******* our project.
distant,1k_most_used,,,"So obvious are these advantages that nearly 95 per cent of the population of New York State now has access to a system , and enthusiastic librarians foresee the day , not too distant , when all the libraries in the state will belong to a co-op .","So obvious are these advantages that nearly 95 per cent of the population of new york state now has access to a system , and enthusiastic librarians foresee the day , not too ******* , when all the libraries in the state will belong to a co-op .",A distant sound could be heard.,A ******* sound could be heard.
divide,1k_most_used,,,"They divide up the household chores : Cerv does most of the cooking ( breakfast and sandwich snacks , with dinner out ) , Mantle supplies the transportation ( a white 1961 Oldsmobile convertible ) , and Maris drives the 25-minute course from the apartment house to Yankee Stadium .","They ****** up the household chores : cerv does most of the cooking ( breakfast and sandwich snacks , with dinner out ) , mantle supplies the transportation ( a white 1961 oldsmobile convertible ) , and maris drives the 25-minute course from the apartment house to yankee stadium .",We divide the cake equally.,We ****** the cake equally.
division,1k_most_used,,,Seidel joined the department in 1925 as a division fire warden after graduation in 1921 from the University of Michigan with a degree in forestry and employment with private lumber companies .,Seidel joined the department in 1925 as a ******** fire warden after graduation in 1921 from the university of michigan with a degree in forestry and employment with private lumber companies .,Division is a math skill.,******** is a math skill.
doctor,1k_most_used,,,"Four additional deputies be employed at the Fulton County Jail and `` a doctor , medical intern or extern be employed for night and weekend duty at the jail '' .","Four additional deputies be employed at the fulton county jail and `` a ****** , medical intern or extern be employed for night and weekend duty at the jail '' .",The doctor checks our health.,The ****** checks our health.
does,1k_most_used,,,"It says that `` in the event Congress does provide this increase in federal funds '' , the State Board of Education should be directed to `` give priority '' to teacher pay raises .","It says that `` in the event congress **** provide this increase in federal funds '' , the state board of education should be directed to `` give priority '' to teacher pay raises .",He does his best.,He **** his best.
dog,1k_most_used,,,"A proposal to raise dog license fees drew an objection from Councilwoman Virginia Knauer , who formerly raised pedigreed dogs .","A proposal to raise *** license fees drew an objection from councilwoman virginia knauer , who formerly raised pedigreed ***s .",My dog loves to play.,My *** loves to play.
dollar,1k_most_used,,,"In the area of `` community health services '' , the President called for doubling the present 10 million dollar a year federal grants for nursing home construction .","In the area of `` community health services '' , the president called for doubling the present 10 million ****** a year federal grants for nursing home construction .",This costs one dollar.,This costs one ******.
done,1k_most_used,,,Pelham said Sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .,Pelham said sunday night there was research being **** on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .,I'm done with my work.,I'm **** with my work.
don't,1k_most_used,,,"`` I don't work for the Government '' , the American said .","`` i ***** work for the government '' , the american said .",Don't forget your lunch.,***** forget your lunch.
door,1k_most_used,,,Mr. Shoettle has agreed to do a portrait of the family of the person who wins the door prize .,Mr. shoettle has agreed to do a portrait of the family of the person who wins the **** prize .,Open the door gently.,Open the **** gently.
double,1k_most_used,,,"In the ninth , Robinson led off with his second double of the night , a blast off the fence 375 feet deep into left .","In the ninth , robinson led off with his second ****** of the night , a blast off the fence 375 feet deep into left .",I need a double scoop of ice cream.,I need a ****** scoop of ice cream.
draw,1k_most_used,,,"On Monday , the Hughes concern was formally declared bankrupt after its directors indicated they could not draw up a plan for reorganization .","On monday , the hughes concern was formally declared bankrupt after its directors indicated they could not **** up a plan for reorganization .",I love to draw pictures.,I love to **** pictures.
dream,1k_most_used,,,His dream goes .,His ***** goes .,I had a dream last night.,I had a ***** last night.
dress,1k_most_used,,,"Mrs. Peter Feringa Jr. , last year's Achaeans' queen , chose an eggshell white filmy lace short dress made with a wide decolletage trimmed with an edging of tulle .","Mrs. peter feringa jr. , last year's achaeans' queen , chose an eggshell white filmy lace short ***** made with a wide decolletage trimmed with an edging of tulle .",I wear a dress to the party.,I wear a ***** to the party.
drink,1k_most_used,,,"A nuclear pacifier of these dimensions -- roughly some six and a half times bigger than anything the United States has triggered experimentally -- would certainly produce a bigger bang , and , just for kicks , Khrushchev might use it to propel the seminar of the house of delegates from St. Louis to the moon , where there wouldn't even be any beer to drink .","A nuclear pacifier of these dimensions -- roughly some six and a half times bigger than anything the united states has triggered experimentally -- would certainly produce a bigger bang , and , just for kicks , khrushchev might use it to propel the seminar of the house of delegates from st. louis to the moon , where there wouldn't even be any beer to ***** .",Drink plenty of water.,***** plenty of water.
drive,1k_most_used,,,"Barnard , who pleaded no defense to manslaughter and hit-run charges , was fined $500 by Judge Warren K. Hess , and placed on two years' probation providing he does not drive during that time .","Barnard , who pleaded no defense to manslaughter and hit-run charges , was fined $500 by judge warren k. hess , and placed on two years' probation providing he does not ***** during that time .",Mom will drive us to school.,Mom will ***** us to school.
drop,1k_most_used,,,"I didn't smell a drop of liquor , and we didn't have a bit of trouble '' .","I didn't smell a **** of liquor , and we didn't have a bit of trouble '' .",Don't drop your toy.,Don't **** your toy.
dry,1k_most_used,,,Dry of life .,*** of life .,The towel is dry now.,The towel is *** now.
duck,1k_most_used,,,"He returned to New York to work for The New Yorker , to edit a Western pulp , to `` duck the war in the OWI '' , to write publicity for Paramount Pictures and commentary for a newsreel , then he began his career as critic for various magazines .","He returned to new york to work for the new yorker , to edit a western pulp , to `` **** the war in the owi '' , to write publicity for paramount pictures and commentary for a newsreel , then he began his career as critic for various magazines .",A duck swims in the pond.,A **** swims in the pond.
during,1k_most_used,,,"During the election campaign , both candidates , Davis and Bush , reportedly received anonymous telephone calls .","****** the election campaign , both candidates , davis and bush , reportedly received anonymous telephone calls .","During summer, we go swimming.","****** summer, we go swimming."
ear,1k_most_used,,,"His matchmaking is , naturally , incidental , and it only serves Flynn right when a determined widow takes him by the ear and leads him off to matrimony .","His matchmaking is , naturally , incidental , and it only serves flynn right when a determined widow takes him by the *** and leads him off to matrimony .",We listen with our ear.,We listen with our ***.
early,1k_most_used,,,"Very early in his administration he informed the Kremlin through diplomatic channels , a high official source disclosed , that the new administration would react even tougher than the Eisenhower administration would during the formative period of the administration .","Very ***** in his administration he informed the kremlin through diplomatic channels , a high official source disclosed , that the new administration would react even tougher than the eisenhower administration would during the formative period of the administration .",I woke up early today.,I woke up ***** today.
earth,1k_most_used,,,The only way Fiedler could get back to earth alive was to fly the pulse jet missile and land it on the airstrip .,The only way fiedler could get back to ***** alive was to fly the pulse jet missile and land it on the airstrip .,Earth is our planet.,***** is our planet.
ease,1k_most_used,,,"An agreement among the Princes on a coalition government would ease their task , diplomats conceded .","An agreement among the princes on a coalition government would **** their task , diplomats conceded .",Yoga brings ease to the mind.,Yoga brings **** to the mind.
east,1k_most_used,,,"`` Actually , the abuse of the process may have constituted a contempt of the Criminal court of Cook county , altho vindication of the authority of that court is not the function of this court '' , said Karns , who is a City judge in East St. Louis sitting in Cook County court .","`` actually , the abuse of the process may have constituted a contempt of the criminal court of cook county , altho vindication of the authority of that court is not the function of this court '' , said karns , who is a city judge in **** st. louis sitting in cook county court .",The sun rises in the east.,The sun rises in the ****.
eat,1k_most_used,,,"Would not the children , if they received all their food on the first day of the month , eat it up immediately , and later go hungry ? ?","Would not the children , if they received all their food on the first day of the month , *** it up immediately , and later go hungry ? ?",We eat dinner together.,We *** dinner together.
edge,1k_most_used,,,The scalloped edge is particularly appealing .,The scalloped **** is particularly appealing .,Don't stand at the edge.,Don't stand at the ****.
effect,1k_most_used,,,"`` These actions should serve to protect in fact and in effect the court's wards from undue costs and its appointed and elected servants from unmeritorious criticisms '' , the jury said .","`` these actions should serve to protect in fact and in ****** the court's wards from undue costs and its appointed and elected servants from unmeritorious criticisms '' , the jury said .",Sunshine has a good effect on plants.,Sunshine has a good ****** on plants.
