word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
below,3_science_LS1,to mee using the url below and experience a new,To mee using the url ***** and experience a new,"The world's best golfer , shooting below par , came to the last hole of the opening round of the Los Angeles open with every intention of delivering a final crusher .","The world's best golfer , shooting ***** par , came to the last hole of the opening round of the los angeles open with every intention of delivering a final crusher .",The cat is below the table.,The cat is ***** the table.
digestion,3_science_LS1,of food mouth happens during digestion,Of food mouth happens during *********,No example sentence found.,No example sentence found.,Digestion is important for health.,********* is important for health.
remedial,3_science_LS1,and then to allocate meaningful remedial activities,And then to allocate meaningful ******** activities,"If any official operation abroad begins to go wrong , we shall look to the ambassador to find out why and to get suggestions for remedial action .","If any official operation abroad begins to go wrong , we shall look to the ambassador to find out why and to get suggestions for ******** action .", He took remedial classes to improve., he took ******** classes to improve.
because,3_science_LS1,we can stand erect because a our respiratory system,We can stand erect ******* a our respiratory system,"The escheat law cannot be enforced now because it is almost impossible to locate such property , Daniel declared .","The escheat law cannot be enforced now ******* it is almost impossible to locate such property , daniel declared .",I smile because I'm happy.,I smile ******* i'm happy.
force,3_science_LS1,materials and i moving things force and motion 109 10,Materials and i moving things ***** and motion 109 10,"In the Blue Ridge meeting , the audience was warned that entering a candidate for governor would force it to take petitions out into voting precincts to obtain the signatures of registered voters .","In the blue ridge meeting , the audience was warned that entering a candidate for governor would ***** it to take petitions out into voting precincts to obtain the signatures of registered voters .",Don't force the box open.,Don't ***** the box open.
carried,3_science_LS1,by the body is also carried by the blood to,By the body is also ******* by the blood to,"About half of all Peace Corps projects assigned to voluntary agencies will be carried out by religious groups , according to an official of the corps .","About half of all peace corps projects assigned to voluntary agencies will be ******* out by religious groups , according to an official of the corps .",I carried groceries home.,I ******* groceries home.
think,3_science_LS1,vision of the as ee think end answer,Vision of the as ee ***** end answer,"`` After inspiring this , I think we should certainly follow through on it '' , he declared .","`` after inspiring this , i ***** we should certainly follow through on it '' , he declared .",I think you're right.,I ***** you're right.
mobile,3_science_LS1,the location with the secure mobile app available for both,The location with the secure ****** app available for both,"Therefore , her wardrobe is largely mobile , to be packed at a moment's notice and to shake out without a wrinkle .","Therefore , her wardrobe is largely ****** , to be packed at a moment's notice and to shake out without a wrinkle .", Mobile phones are convenient., ****** phones are convenient.
system,3_science_LS1,education everywhere a learning management system lms that offers schools,Education everywhere a learning management ****** lms that offers schools,The Republicans must hold a primary under the county unit system -- a system which the party opposes in its platform .,The republicans must hold a primary under the county unit ****** -- a ****** which the party opposes in its platform .,Our body has a digestive system.,Our body has a digestive ******.
draw,3_science_LS1,55 critical tang comensarication crewovity draw or paste a picture,55 critical tang comensarication crewovity **** or paste a picture,"On Monday , the Hughes concern was formally declared bankrupt after its directors indicated they could not draw up a plan for reorganization .","On monday , the hughes concern was formally declared bankrupt after its directors indicated they could not **** up a plan for reorganization .",I love to draw pictures.,I love to **** pictures.
puzzle,3_science_LS1,share a ial puzzle and ask your friends,Share a ial ****** and ask your friends,The average Congolese can do little more than puzzle out the meaning of `` la chatte '' and `` le chien '' and write his name .,The average congolese can do little more than ****** out the meaning of `` la chatte '' and `` le chien '' and write his name ., Solve the puzzle to win., solve the ****** to win.
prepare,3_science_LS1,classroom it is necessary to prepare learners for the abilities,Classroom it is necessary to ******* learners for the abilities,"They lacked time to prepare the Congo , as the British and French had prepared their colonies .","They lacked time to ******* the congo , as the british and french had *******d their colonies .",Prepare your backpack for school.,******* your backpack for school.
pair,3_science_LS1,use a cloth or a pair of tongs to handle,Use a cloth or a **** of tongs to handle,"Three were doubles , Brooks Robinson getting a pair and Marv Breeding one .","Three were doubles , brooks robinson getting a **** and marv breeding one .",Two socks make a pair.,Two socks make a ****.
view,3_science_LS1,parents too get access to view the performance of their,Parents too get access to **** the performance of their,Their view is that last-minute changes the Mayor is proposing to make in the Democratic ticket only emphasize the weakness of his performance as Mayor .,Their **** is that last-minute changes the mayor is proposing to make in the democratic ticket only emphasize the weakness of his performance as mayor .,We enjoyed the view from the hill.,We enjoyed the **** from the hill.
saved,3_science_LS1,false project 2 water discusses saved,False project 2 water discusses *****,"Jones , unhappy that the candidates were limited to eight minutes for a speech and no audience questions , saved his barbs for Mitchell .","Jones , unhappy that the candidates were limited to eight minutes for a speech and no audience questions , ***** his barbs for mitchell .", He saved money for later., he ***** money for later.
respiratory,3_science_LS1,system jes digestive system jee respiratory system sense organs i,System jes digestive system jee *********** system sense organs i,"The medical title of `` Lobar Ventilation In Man '' by Drs. C. J. Martin and A. C. Young , covers a brief paper which is one part of a much larger effort to apply electronics to the study of the respiratory process .","The medical title of `` lobar ventilation in man '' by drs. c. j. martin and a. c. young , covers a brief paper which is one part of a much larger effort to apply electronics to the study of the *********** process .",The respiratory system helps us breathe.,The *********** system helps us breathe.
drink,3_science_LS1,water we must drink enough water every day,Water we must ***** enough water every day,"A nuclear pacifier of these dimensions -- roughly some six and a half times bigger than anything the United States has triggered experimentally -- would certainly produce a bigger bang , and , just for kicks , Khrushchev might use it to propel the seminar of the house of delegates from St. Louis to the moon , where there wouldn't even be any beer to drink .","A nuclear pacifier of these dimensions -- roughly some six and a half times bigger than anything the united states has triggered experimentally -- would certainly produce a bigger bang , and , just for kicks , khrushchev might use it to propel the seminar of the house of delegates from st. louis to the moon , where there wouldn't even be any beer to ***** .",Drink plenty of water.,***** plenty of water.
component,3_science_LS1,draw and colour an abiotic component things,Draw and colour an abiotic ********* things,"Viewed from afar , the CDC looks like a rather stalwart political pyramid : its elected directorate fans out into an array of district leaders and standing committees , and thence into its component clubs and affiliated groups -- 500 or so .","Viewed from afar , the cdc looks like a rather stalwart political pyramid : its elected directorate fans out into an array of district leaders and standing committees , and thence into its ********* clubs and affiliated groups -- 500 or so .", The engine has many components., the engine has many components.
learnt,3_science_LS1,129 ti a7 sportsgames integrated learnt page nummber 7 unit,129 ti a7 sportsgames integrated ****** page nummber 7 unit,No example sentence found.,No example sentence found.,I learnt to ride a bike.,I ****** to ride a bike.
strong,3_science_LS1,in heritage traditions customs and strong ethics ea hye ar,In heritage traditions customs and ****** ethics ea hye ar,"Georgia Republicans are getting strong encouragement to enter a candidate in the 1962 governor's race , a top official said Wednesday .","Georgia republicans are getting ****** encouragement to enter a candidate in the 1962 governor's race , a top official said wednesday .",Lions are strong animals.,Lions are ****** animals.
focus,3_science_LS1,with this focus on creating futureready leamers,With this ***** on creating futureready leamers,"On Friday , a day as cloudless and lovely as Thursday had been gray and ugly , the plot of the tournament came clearly into focus .","On friday , a day as cloudless and lovely as thursday had been gray and ugly , the plot of the tournament came clearly into ***** .", Focus on your studies., ***** on your studies.
muscular,3_science_LS1,ie jg spot skeletal system muscular system jes digestive system,Ie jg spot skeletal system ******** system jes digestive system,"When Roger Eugene Maris , Mantle's muscular teammate , powers four home runs in a double-header , his performance merits awe .","When roger eugene maris , mantle's ******** teammate , powers four home runs in a double-header , his performance merits awe .",A lion is very muscular.,A lion is very ********.
fight,3_science_LS1,b fight against diseases,B ***** against diseases,"Daniel personally led the fight for the measure , which he had watered down considerably since its rejection by two previous Legislatures , in a public hearing before the House Committee on Revenue and Taxation .","Daniel personally led the ***** for the measure , which he had watered down considerably since its rejection by two previous legislatures , in a public hearing before the house committee on revenue and taxation .",Superheroes fight villains.,Superheroes ***** villains.
pill,3_science_LS1,fo understand how talk about pill in the blanks we,Fo understand how talk about **** in the blanks we,Let us focus on an atom of calcium from the tip of the bone of my finger and let us suppose that I swallow a magic Alice In Wonderland growing pill .,Let us focus on an atom of calcium from the tip of the bone of my finger and let us suppose that i swallow a magic alice in wonderland growing **** ., Take this pill for fever., take this **** for fever.
there,3_science_LS1,do you realise there are j different types,Do you realise ***** are j different types,"The jury did not elaborate , but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .","The jury did not elaborate , but it added that `` ***** should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .",Look over there!,Look over *****!
when,3_science_LS1,of a touchmenot plant close when touched,Of a touchmenot plant close **** touched,"Regarding Atlanta's new multi-million-dollar airport , the jury recommended `` that when the new management takes charge Jan. 1 the airport be operated in a manner that will eliminate political influences '' .","Regarding atlanta's new multi-million-dollar airport , the jury recommended `` that **** the new management takes charge jan. 1 the airport be operated in a manner that will eliminate political influences '' .",When is lunch?,**** is lunch?
tissue,3_science_LS1,join together to form a tissue,Join together to form a ******,"`` In addition to the usual tools , I make constant use of cleansing tissue , not only to wipe my brushes , but to mop up certain areas , to soften edges , and to open up lights in dark washes .","`` in addition to the usual tools , i make constant use of cleansing ****** , not only to wipe my brushes , but to mop up certain areas , to soften edges , and to open up lights in dark washes .",Use a tissue for your nose.,Use a ****** for your nose.
digital,3_science_LS1,school education tcomprisesarich suite of digital interactivities along withacomprehensive learning,School education tcomprisesarich suite of ******* interactivities along withacomprehensive learning,"Mr. Devey's new responsibilities are in addition to those of his present post as marketing manager of Sprague's Special Products Group , which manufactures a wide line of digital electronic components , packaged component assemblies , and high temperature magnet wires .","Mr. devey's new responsibilities are in addition to those of his present post as marketing manager of sprague's special products group , which manufactures a wide line of ******* electronic components , packaged component assemblies , and high temperature magnet wires .",I read a digital book.,I read a ******* book.
flexibility,3_science_LS1,which improve the strength and flexibility of the body,Which improve the strength and *********** of the body,The question left by the election is whether West Germany veers slightly toward more firmness or more flexibility .,The question left by the election is whether west germany veers slightly toward more firmness or more *********** .,Yoga improves flexibility.,Yoga improves ***********.
drawn,3_science_LS1,at what your classmates have drawn i pasted,At what your classmates have ***** i pasted,"Participants in the 27 Portland companies worked one night a week through the school year , guided and counseled by adult advisors drawn from local business and industry .","Participants in the 27 portland companies worked one night a week through the school year , guided and counseled by adult advisors ***** from local business and industry .", He has drawn a nice picture., he has ***** a nice picture.
bladder,3_science_LS1,the kidneys ureters and urinary bladder form the main excretory,The kidneys ureters and urinary ******* form the main excretory,No example sentence found.,No example sentence found., The bladder stores urine., the ******* stores urine.
join,3_science_LS1,cells of the same type join together to form a,Cells of the same type **** together to form a,"By-passing the military junta which has ruled Turkey since the overthrow of Premier Adnan Menderes 17 months ago , the army general staff , led by Gen. Cedvet Sunay , had set a deadline for the parties to join in a national coalition government .","By-passing the military junta which has ruled turkey since the overthrow of premier adnan menderes 17 months ago , the army general staff , led by gen. cedvet sunay , had set a deadline for the parties to **** in a national coalition government .",Can I join your game?,Can i **** your game?
formation,3_science_LS1,a plant pant erengonert fv formation of rats fom flowers,A plant pant erengonert fv ********* of rats fom flowers,"When that failed , he enlisted Branch Rickey's aid in the formation of a third major league , the Continental , with New York as the key franchise .","When that failed , he enlisted branch rickey's aid in the ********* of a third major league , the continental , with new york as the key franchise .",Birds flew in a V formation.,Birds flew in a v *********.
should,3_science_LS1,keep the brain active we should solve riddles and puzzles,Keep the brain active we ****** solve riddles and puzzles,"However , the jury said it believes `` these two offices should be combined to achieve greater efficiency and reduce the cost of administration '' .","However , the jury said it believes `` these two offices ****** be combined to achieve greater efficiency and reduce the cost of administration '' .",You should brush your teeth.,You ****** brush your teeth.
platform,3_science_LS1,digital interactivities along withacomprehensive learning platform with a range of,Digital interactivities along withacomprehensive learning ******** with a range of,The Republicans must hold a primary under the county unit system -- a system which the party opposes in its platform .,The republicans must hold a primary under the county unit system -- a system which the party opposes in its ******** ., Stand on the platform to board., stand on the ******** to board.
about,3_science_LS1,page nummber 1 about altura macmillan education introduces,Page nummber 1 ***** altura macmillan education introduces,"The Highway Department source told The Constitution , however , that Vandiver has not been consulted yet about the plans to issue the new rural roads bonds .","The highway department source told the constitution , however , that vandiver has not been consulted yet ***** the plans to issue the new rural roads bonds .",This book is about animals.,This book is ***** animals.
same,3_science_LS1,cells of the same type join together to,Cells of the **** type join together to,At the same time reaction among anti-organization Democratic leaders and in the Liberal party to the Mayor's reported plan was generally favorable .,At the **** time reaction among anti-organization democratic leaders and in the liberal party to the mayor's reported plan was generally favorable .,We have the same backpacks.,We have the **** backpacks.
wee,3_science_LS1,nummber 5 neue anef senue wee es pot to nattooat,Nummber 5 neue anef senue *** es pot to nattooat,"Some of the in-person performers were Jack Teagarden , Gene Krupa , Bud Freeman , Pee Wee Russell , Johnny St. Cyr , Joe Sullivan , Red Allen , Lil Armstrong , Blossom Seeley .","Some of the in-person performers were jack teagarden , gene krupa , bud freeman , pee *** russell , johnny st. cyr , joe sullivan , red allen , lil armstrong , blossom seeley .", Babies wake up in the wee hours., babies wake up in the *** hours.
water,3_science_LS1,water 126 unit vl 12,***** 126 unit vl 12,-- Paradise lost to the alleged water needs of Texas' big cities Thursday .,-- paradise lost to the alleged ***** needs of texas' big cities thursday .,I drink water every day.,I drink ***** every day.
bow,3_science_LS1,tac eras ont bec th bow hr seeds bul in,Tac eras ont bec th *** hr seeds bul in,The announcement that the secrets of the Dreadnought had been stolen was made in Bow St. police court here at the end of a three day hearing .,The announcement that the secrets of the dreadnought had been stolen was made in *** st. police court here at the end of a three day hearing .,Tie a bow on the gift.,Tie a *** on the gift.
that,3_science_LS1,combines smartly designed learning resources that are aligned to the,Combines smartly designed learning resources **** are aligned to the,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county grand jury said friday an investigation of atlanta's recent primary election produced `` no evidence '' **** any irregularities took place .,Is that your book?,Is **** your book?
them,3_science_LS1,to track learners progress assign them homework assessments grades and,To track learners progress assign **** homework assessments grades and,It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' .,It recommended that fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving **** '' .,Give them the cookies.,Give **** the cookies.
social,3_science_LS1,121 124 129 observation initiative social si 26 27 40,121 124 129 observation initiative ****** si 26 27 40,-- President Kennedy today proposed a mammoth new medical care program whereby social security taxes on 70 million American workers would be raised to pay the hospital and some other medical bills of 14.2 million Americans over 65 who are covered by social security or railroad retirement programs .,-- president kennedy today proposed a mammoth new medical care program whereby ****** security taxes on 70 million american workers would be raised to pay the hospital and some other medical bills of 14.2 million americans over 65 who are covered by ****** security or railroad retirement programs ., We play with our friends., we play with our friends.
complex,3_science_LS1,the food we eat has complex substances,The food we eat has ******* substances,"The Administration's proposals , complex and sweeping as they are , all deal with fringe areas of the housing market rather than its core , stated Caron S. Stallard , first vice-president of the Mortgage Bankers Association of America .","The administration's proposals , ******* and sweeping as they are , all deal with fringe areas of the housing market rather than its core , stated caron s. stallard , first vice-president of the mortgage bankers association of america .", Math problems can be complex., math problems can be *******.
any,3_science_LS1,nas its national animal declaring any animal as a lr,Nas its national animal declaring *** animal as a lr,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county grand jury said friday an investigation of atlanta's recent primary election produced `` no evidence '' that *** irregularities took place .,Do you have any cookies?,Do you have *** cookies?
top,3_science_LS1,to nattooat cupp ecotd peamoworrk top schoo tducation 2024 preparatory,To nattooat cupp ecotd peamoworrk *** schoo tducation 2024 preparatory,"Georgia Republicans are getting strong encouragement to enter a candidate in the 1962 governor's race , a top official said Wednesday .","Georgia republicans are getting strong encouragement to enter a candidate in the 1962 governor's race , a *** official said wednesday .",The cat is on the top shelf.,The cat is on the *** shelf.
your,3_science_LS1,look at what your classmates have drawn i,Look at what **** classmates have drawn i,"`` Yes , your honor '' , replied Bellows .","`` yes , **** honor '' , replied bellows .",Your shoes are big.,**** shoes are big.
commonly,3_science_LS1,nests of birds draw beaks commonly birds projectbesed leaning c52,Nests of birds draw beaks ******** birds projectbesed leaning c52,"Instead -- and not just to prove my objectivity -- I hasten to report that it's a highly amusing film which probably does a fairly accurate job of reporting on the Easter vacation shenanigans of collegians down in Fort Lauderdale , and that it seems to come to grips quite honestly with the moral problem that most commonly vexes youngsters in this age group -- that is to say , sex .","Instead -- and not just to prove my objectivity -- i hasten to report that it's a highly amusing film which probably does a fairly accurate job of reporting on the easter vacation shenanigans of collegians down in fort lauderdale , and that it seems to come to grips quite honestly with the moral problem that most ******** vexes youngsters in this age group -- that is to say , sex .",Ice cream is commonly loved.,Ice cream is ******** loved.
during,3_science_LS1,breakdown of food mouth happens during digestion,Breakdown of food mouth happens ****** digestion,"During the election campaign , both candidates , Davis and Bush , reportedly received anonymous telephone calls .","****** the election campaign , both candidates , davis and bush , reportedly received anonymous telephone calls .","During summer, we go swimming.","****** summer, we go swimming."
get,3_science_LS1,parents too get access to view the,Parents too *** access to view the,Dallas may get to hear a debate on horse race parimutuels soon between Reps. V. E. ( Red ) Berry and Joe Ratcliff .,Dallas may *** to hear a debate on horse race parimutuels soon between reps. v. e. ( red ) berry and joe ratcliff .,Did you get your lunch?,Did you *** your lunch?
eat,3_science_LS1,human body the food we eat unit il pay a,Human body the food we *** unit il pay a,"Would not the children , if they received all their food on the first day of the month , eat it up immediately , and later go hungry ? ?","Would not the children , if they received all their food on the first day of the month , *** it up immediately , and later go hungry ? ?",We eat dinner together.,We *** dinner together.
divide,3_science_LS1,note to the teacher tal divide the students into teams,Note to the teacher tal ****** the students into teams,"They divide up the household chores : Cerv does most of the cooking ( breakfast and sandwich snacks , with dinner out ) , Mantle supplies the transportation ( a white 1961 Oldsmobile convertible ) , and Maris drives the 25-minute course from the apartment house to Yankee Stadium .","They ****** up the household chores : cerv does most of the cooking ( breakfast and sandwich snacks , with dinner out ) , mantle supplies the transportation ( a white 1961 oldsmobile convertible ) , and maris drives the 25-minute course from the apartment house to yankee stadium .",We divide the cake equally.,We ****** the cake equally.
country,3_science_LS1,end enact a tale every country nas its national animal,End enact a tale every ******* nas its national animal,"His reply , he said , was that he agreed to the need for unity in the country now .","His reply , he said , was that he agreed to the need for unity in the ******* now .",We live in a beautiful country.,We live in a beautiful *******.
holistic,3_science_LS1,and assessments offering a 360degree holistic approach to education altura,And assessments offering a 360degree ******** approach to education altura,No example sentence found.,No example sentence found., A healthy diet is holistic., a healthy diet is ********.
tell,3_science_LS1,think and tell your teacher the steps,Think and **** your teacher the steps,"While details are still to be worked out , Ratcliff said he expects to tell home folks in Dallas why he thinks Berry's proposed constitutional amendment should be rejected .","While details are still to be worked out , ratcliff said he expects to **** home folks in dallas why he thinks berry's proposed constitutional amendment should be rejected .",Can you tell a story?,Can you **** a story?
collage,3_science_LS1,magazines and prepare a colourful collage,Magazines and prepare a colourful *******,"Picasso says that he himself had already made his first collage toward the end of 1911 , when he glued a piece of imitation-caning oilcloth to a painting on canvas .","Picasso says that he himself had already made his first ******* toward the end of 1911 , when he glued a piece of imitation-caning oilcloth to a painting on canvas .", We made a collage in art class., we made a ******* in art class.
surrounding,3_science_LS1,that air is a gas surrounding,That air is a gas ***********,"-- Surrounding pioneer pastors with vocational volunteers ( laymen , who will be urged to move into the area of new churches in the interest of lending their support to the new project ) .","-- *********** pioneer pastors with vocational volunteers ( laymen , who will be urged to move into the area of new churches in the interest of lending their support to the new project ) .", Trees surround our house., trees surround our house.
intestine,3_science_LS1,stomach small intestine large intestine the mouth,Stomach small ********* large ********* the mouth,"The small intestine and colon contained approximately 300 cc. of foul-smelling , sanguineous material , and the mucosa throughout was hyperemic and mottled green-brown .","The small ********* and colon contained approximately 300 cc. of foul-smelling , sanguineous material , and the mucosa throughout was hyperemic and mottled green-brown .",Food travels through the intestine.,Food travels through the *********.
nose,3_science_LS1,g the skin and the nose are present on the,G the skin and the **** are present on the,Moritz doesn't even have a nose guard or hip pads but he's one of the most valuable members of the Longhorn team that will be heavily favored Saturday over Oklahoma in the Cotton Bowl .,Moritz doesn't even have a **** guard or hip pads but he's one of the most valuable members of the longhorn team that will be heavily favored saturday over oklahoma in the cotton bowl .,My nose is itchy.,My **** is itchy.
international,3_science_LS1,june is observed as the international day of yoga,June is observed as the ************* day of yoga,"The United States , State Department officials explain , now is mainly interested in setting up an international inspection system which will prevent Laos from being used as a base for Communist attacks on neighboring Thailand and South Viet Nam .","The united states , state department officials explain , now is mainly interested in setting up an ************* inspection system which will prevent laos from being used as a base for communist attacks on neighboring thailand and south viet nam .", People from many countries are international., people from many countries are *************.
every,3_science_LS1,or summative assessments worksheets for every chapter glossary and much,Or summative assessments worksheets for ***** chapter glossary and much,The department apparently intends to make the Rural Roads Authority a revolving fund under which new bonds would be issued every time a portion of the old ones are paid off by tax authorities .,The department apparently intends to make the rural roads authority a revolving fund under which new bonds would be issued ***** time a portion of the old ones are paid off by tax authorities .,Every child got a balloon.,***** child got a balloon.
technical,3_science_LS1,a teacher with the right technical tools can do wonders,A teacher with the right ********* tools can do wonders,"While emphasizing that technical details were not fully worked out , Pelham said his resolution would seek to set aside the privilege resolution which the House voted through 87-31 .","While emphasizing that ********* details were not fully worked out , pelham said his resolution would seek to set aside the privilege resolution which the house voted through 87-31 .", Fixing machines requires technical skills., fixing machines requires ********* skills.
suck,3_science_LS1,help in the pace and suck i identity he natonal,Help in the pace and **** i identity he natonal,"It's perfectly normal for babies to suck their thumbs , and no mother need worry if a child continues this habit until he is two or three years old .","It's perfectly normal for babies to **** their thumbs , and no mother need worry if a child continues this habit until he is two or three years old .",Babies suck on pacifiers.,Babies **** on pacifiers.
name,3_science_LS1,name the parts of a,**** the parts of a,Governor Notte said last night he plans to name a committee to make the study and come up with recommendations for possible changes in time for the next session of the General Assembly .,Governor notte said last night he plans to **** a committee to make the study and come up with recommendations for possible changes in time for the next session of the general assembly .,What's your name?,What's your ****?
importance,3_science_LS1,infer the importance of nests compare the,Infer the ********** of nests compare the,The Charter does stipulate that `` due regard '' shall be paid to the importance of recruiting the staff on `` as wide a geographical basis as possible '' .,The charter does stipulate that `` due regard '' shall be paid to the ********** of recruiting the staff on `` as wide a geographical basis as possible '' .,Water is of great importance.,Water is of great **********.
task,3_science_LS1,co1hs2034 relies ae stans picturebased task about the stem mech,Co1hs2034 relies ae stans picturebased **** about the stem mech,"An agreement among the Princes on a coalition government would ease their task , diplomats conceded .","An agreement among the princes on a coalition government would ease their **** , diplomats conceded .",Cleaning your room is a task.,Cleaning your room is a ****.
condition,3_science_LS1,keep the body in working condition tissue a group of,Keep the body in working ********* tissue a group of,"A bright sun and brisk wind had the track in a fast condition for the first time this week and 8,280 St. Patty Day celebrants bet $842,617 on the well-prepared program .","A bright sun and brisk wind had the track in a fast ********* for the first time this week and 8,280 st. patty day celebrants bet $842,617 on the well-prepared program .",Keep your room in good condition.,Keep your room in good *********.
hood,3_science_LS1,relationaip pasian faa and health hood food is produced junk,Relationaip pasian faa and health **** food is produced junk,Hood flies over house,**** flies over house, The car has a hood., the car has a ****.
hold,3_science_LS1,now hold the neck of the,Now **** the neck of the,The Republicans must hold a primary under the county unit system -- a system which the party opposes in its platform .,The republicans must **** a primary under the county unit system -- a system which the party opposes in its platform .,"Hold the door open, please.","**** the door open, please."
dose,3_science_LS1,been known to live in dose contact with human deings,Been known to live in **** contact with human deings,for a dose of radiation is not like a flu virus which causes temporary discomfort and then dies .,For a **** of radiation is not like a flu virus which causes temporary discomfort and then dies ., Take one dose of medicine., take one **** of medicine.
infer,3_science_LS1,infer the importance of nests,***** the importance of nests,"If the mechanics are similar , we can also infer that the thermodynamics will also be similar .","If the mechanics are similar , we can also ***** that the thermodynamics will also be similar .", We infer the answer from clues., we ***** the answer from clues.
emergency,3_science_LS1,include emergency numbers for fire theft,Include ********* numbers for fire theft,-- Turkish political leaders bowed today to military pressure and agreed to form an emergency national front government with Gen. Cemal Gursel as president .,-- turkish political leaders bowed today to military pressure and agreed to form an ********* national front government with gen. cemal gursel as president ., Call 911 in an emergency., call 911 in an *********.
use,3_science_LS1,use the scientific method in,*** the scientific method in,A patient could receive up to 300 days paid-for nursing home care under a `` unit formula '' allowing more of such care for those who use none or only part of the hospital-care credit .,A patient could receive up to 300 days paid-for nursing home care under a `` unit formula '' allowing more of such care for those who *** none or only part of the hospital-care credit .,I use a pencil to write.,I *** a pencil to write.
crosscutting,3_science_LS1,and in the study of crosscutting concepts and applications of,And in the study of ************ concepts and applications of,No example sentence found.,No example sentence found., Scissors are used for crosscutting., scissors are used for ************.
before,3_science_LS1,been on the lath even before the appearance of human,Been on the lath even ****** the appearance of human,"The largest hurdle the Republicans would have to face is a state law which says that before making a first race , one of two alternative courses must be taken : 1","The largest hurdle the republicans would have to face is a state law which says that ****** making a first race , one of two alternative courses must be taken : 1",Wash hands before eating.,Wash hands ****** eating.
made,3_science_LS1,as the number of attempts made for each,As the number of attempts **** for each,"Before adjournment Monday afternoon , the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made .","Before adjournment monday afternoon , the senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be **** .",I made a paper airplane.,I **** a paper airplane.
above,3_science_LS1,not as you have drawn above,Not as you have drawn *****,"Each member with a population above 150,000,000 would get one additional post for each additional 30,000,000 people up to an unspecified cut-off point .","Each member with a population ***** 150,000,000 would get one additional post for each additional 30,000,000 people up to an unspecified cut-off point .",The bird flew above the tree.,The bird flew ***** the tree.
for,3_science_LS1,the latest national curriculum framework for school education tcomprisesarich suite,The latest national curriculum framework *** school education tcomprisesarich suite,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said in term-end presentments that the city executive committee , which had over-all charge of the election , `` deserves the praise and thanks of the city of atlanta '' *** the manner in which the election was conducted .",This gift is for you.,This gift is *** you.
latest,3_science_LS1,that are aligned to the latest national curriculum framework for,That are aligned to the ****** national curriculum framework for,"Salinger said the work President Kennedy , advisers , and members of his staff were doing on the address involved composition and wording , rather than last minute decisions on administration plans to meet the latest Berlin crisis precipitated by Russia's demands and proposals for the city .","Salinger said the work president kennedy , advisers , and members of his staff were doing on the address involved composition and wording , rather than last minute decisions on administration plans to meet the ****** berlin crisis precipitated by russia's demands and proposals for the city .",I read the latest book in the series.,I read the ****** book in the series.
tiny,3_science_LS1,made up of millions of tiny structures called cells,Made up of millions of **** structures called cells,"Giving up the violin opened a whole new career for Ilona Schmidl-Seeberg , a tiny Hungarian who Fritz Kreisler had predicted would have a promising career on the concert stage .","Giving up the violin opened a whole new career for ilona schmidl-seeberg , a **** hungarian who fritz kreisler had predicted would have a promising career on the concert stage .",A bug is tiny.,A bug is ****.
management,3_science_LS1,macmillan education everywhere a learning management system lms that offers,Macmillan education everywhere a learning ********** system lms that offers,"Regarding Atlanta's new multi-million-dollar airport , the jury recommended `` that when the new management takes charge Jan. 1 the airport be operated in a manner that will eliminate political influences '' .","Regarding atlanta's new multi-million-dollar airport , the jury recommended `` that when the new ********** takes charge jan. 1 the airport be operated in a manner that will eliminate political influences '' .", Good management leads to success., good ********** leads to success.
discuss,3_science_LS1,explain different types of beaks discuss about claws ond feathers,Explain different types of beaks ******* about claws ond feathers,"At the workshop , Mrs. Schenk will discuss `` the board and the staff , librarian-board relationships , personnel policies , how good is our librarian and staff , how good am I as a library board member and how good is our library '' .","At the workshop , mrs. schenk will ******* `` the board and the staff , librarian-board relationships , personnel policies , how good is our librarian and staff , how good am i as a library board member and how good is our library '' .",Let's discuss our project.,Let's ******* our project.
higher,3_science_LS1,the course content to develop higher order thinking skills such,The course content to develop ****** order thinking skills such,Both figures would go higher in later years .,Both figures would go ****** in later years .,I jumped higher than ever before.,I jumped ****** than ever before.
compare,3_science_LS1,infer the importance of nests compare the body parts of,Infer the importance of nests ******* the body parts of,"By leaving our doors open the United States gives other peoples the opportunity to see us and to compare , he said .","By leaving our doors open the united states gives other peoples the opportunity to see us and to ******* , he said .",Let's compare our drawings.,Let's ******* our drawings.
