dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
bring,"Our Environment 140
Environment
Learning by Doing: Cross-curricular Project-1 Saga
(Animal Diaries) :
Learning by Doing: Cross-curricular Project-2 Ase 13
(Water: A Precious Treasure) :
Project-based Learning (Bring Back House Sparrows)
Assessment: Model Test Paper-1 152-154
Assessment: Model Test Paper-2 155-1517)
r

360-degree Holistic Progress Card (Comprehensive) 158-160



Page nummber: 3
LEARNING OUTCOMES

WARM-UP

interactive tasks to
engage learners ee

ACTIVITY

to aid in
experiential
learning

significant learning outcomes
that the learners will achieve
on completion of the lesson

Living Things Move o
| eran
; \Y/ eontiome
!",Our Environment 140 Environment Learning by Doing Crosscurricular Project1 Saga Animal Diaries  Learning by Doing Crosscurricular Project2 Ase 13 Water A Precious Treasure  Projectbased Learning Bring Back House Sparrows Assessment Model Test Paper1 152154 Assessment Model Test Paper2 1551517 r  360degree Holistic Progress Card Comprehensive 158160    Page nummber 3 LEARNING OUTCOMES  WARMUP  interactive tasks to engage learners ee  ACTIVITY  to aid in experiential learning  significant learning outcomes that the learners will achieve on completion of the lesson  Living Things Move o  eran  Y eontiome ,a precious treasure projectbased learning bring back house sparrows assessment,A precious treasure projectbased learning ***** back house sparrows assessment,,,,
ureter,"ureter The lungs and the skin also help in the
Veal bladde- removal of waste from the body.",ureter The lungs and the skin also help in the Veal bladde removal of waste from the body,ureter the lungs and the,****** the lungs and the,,,,
as,"A teacher can track the number of tasks a learner has performed in a book as well as
the number of attempts made for each.",A teacher can track the number of tasks a learner has performed in a book as well as the number of attempts made for each,has performed in a book as well as the number,H** performed in a book ** well ** the number,,,,
last,"The house sparrow has been known to live in dose
contact with human deings, instead of foresta, For years,
Dy R has peace\sy coaxisted with us in our buldings and
Hy) Gardens, but in the last two decades, ther poputation has

assist learners understand
their strengths and

weaknesses, thereby take
remedial strategies to
improve learning

Page 159


Page nummber: 5
NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO
tducation 2024; Preparatory Stage

Chapter
Ke
Currioutat Compotoncion Cone ote Warm-up/Aativity Talk Exercises
Gaata
Ny (5-18 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer + Golveaa + Pillin the blanks
1 My aay {D4 Povmpotheane (hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly + Plead, understand and anawerqueationa | riddle |* Correct the slalements
CO HOON CR) Deere sterile: tahaaste: anne parnatinee can aatily peed pieetetiony + Organs and |* Maka two neckiacad from ona + Tick the corract reason
re CRD Pegnmeeerste: ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers + Solve the rddla * Comprahansion questions
 aren ree ie work |* Label the parts of the digestive
+ Spot the differances system
* Think and anawer * HOTS
Do it yourself Safaty
t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een * Components of |+ Pleture-based laak fo understand how | + Talk about + Pill in the blanks ""
We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food * Tick the corract option
UNS NS C2 eevee and clemorlten cuittural vnenity of food + Ralanced diet * Read a poem on proteing |+ Complete the table
> }+ Foods that + Test for tha praserice of fat + Read the case and tick the
| shoul!",The house sparrow has been known to live in dose contact with human deings instead of foresta For years Dy R has peacesy coaxisted with us in our buldings and Hy Gardens but in the last two decades ther poputation has  assist learners understand their strengths and  weaknesses thereby take remedial strategies to improve learning  Page 159   Page nummber 5 NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO tducation 2024 Preparatory Stage  Chapter Ke Currioutat Compotoncion Cone ote WarmupAativity Talk Exercises Gaata Ny 518 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer  Golveaa  Pillin the blanks 1 My aay D4 Povmpotheane hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly  Plead understand and anawerqueationa  riddle  Correct the slalements CO HOON CR Deere sterile tahaaste anne parnatinee can aatily peed pieetetiony  Organs and  Maka two neckiacad from ona  Tick the corract reason re CRD Pegnmeeerste ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers  Solve the rddla  Comprahansion questions  aren ree ie work  Label the parts of the digestive  Spot the differances system  Think and anawer  HOTS Do it yourself Safaty t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een  Components of  Pleturebased laak fo understand how   Talk about  Pill in the blanks  We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food  Tick the corract option UNS NS C2 eevee and clemorlten cuittural vnenity of food  Ralanced diet  Read a poem on proteing  Complete the table   Foods that  Test for tha praserice of fat  Read the case and tick the  shoul,hy gardens but in the last two decades ther poputation,Hy gardens but in the **** two decades ther poputation,,,,
solve,"The house sparrow has been known to live in dose
contact with human deings, instead of foresta, For years,
Dy R has peace\sy coaxisted with us in our buldings and
Hy) Gardens, but in the last two decades, ther poputation has

assist learners understand
their strengths and

weaknesses, thereby take
remedial strategies to
improve learning

Page 159


Page nummber: 5
NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO
tducation 2024; Preparatory Stage

Chapter
Ke
Currioutat Compotoncion Cone ote Warm-up/Aativity Talk Exercises
Gaata
Ny (5-18 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer + Golveaa + Pillin the blanks
1 My aay {D4 Povmpotheane (hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly + Plead, understand and anawerqueationa | riddle |* Correct the slalements
CO HOON CR) Deere sterile: tahaaste: anne parnatinee can aatily peed pieetetiony + Organs and |* Maka two neckiacad from ona + Tick the corract reason
re CRD Pegnmeeerste: ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers + Solve the rddla * Comprahansion questions
 aren ree ie work |* Label the parts of the digestive
+ Spot the differances system
* Think and anawer * HOTS
Do it yourself Safaty
t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een * Components of |+ Pleture-based laak fo understand how | + Talk about + Pill in the blanks ""
We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food * Tick the corract option
UNS NS C2 eevee and clemorlten cuittural vnenity of food + Ralanced diet * Read a poem on proteing |+ Complete the table
> }+ Foods that + Test for tha praserice of fat + Read the case and tick the
| shoul!",The house sparrow has been known to live in dose contact with human deings instead of foresta For years Dy R has peacesy coaxisted with us in our buldings and Hy Gardens but in the last two decades ther poputation has  assist learners understand their strengths and  weaknesses thereby take remedial strategies to improve learning  Page 159   Page nummber 5 NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO tducation 2024 Preparatory Stage  Chapter Ke Currioutat Compotoncion Cone ote WarmupAativity Talk Exercises Gaata Ny 518 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer  Golveaa  Pillin the blanks 1 My aay D4 Povmpotheane hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly  Plead understand and anawerqueationa  riddle  Correct the slalements CO HOON CR Deere sterile tahaaste anne parnatinee can aatily peed pieetetiony  Organs and  Maka two neckiacad from ona  Tick the corract reason re CRD Pegnmeeerste ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers  Solve the rddla  Comprahansion questions  aren ree ie work  Label the parts of the digestive  Spot the differances system  Think and anawer  HOTS Do it yourself Safaty t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een  Components of  Pleturebased laak fo understand how   Talk about  Pill in the blanks  We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food  Tick the corract option UNS NS C2 eevee and clemorlten cuittural vnenity of food  Ralanced diet  Read a poem on proteing  Complete the table   Foods that  Test for tha praserice of fat  Read the case and tick the  shoul,lifted comative proces orn ayers solve the rddla comprahansion questions,Lifted comative proces orn ayers ***** the rddla comprahansion questions,,,,
moving,"Solids, Liquids and Gases 101

Materials and I
Moving Things Force and Motion 109
10.",Solids Liquids and Gases 101  Materials and I Moving Things Force and Motion 109 10,gases 101 materials and i moving things force and motion,Gases 101 materials and i ****** things force and motion,,,,
taste,"np : sd pt a 2
fs C 1
wo 4  0
2 ee PK 2h OR lh ah
<s at tL tak
b% , : - Ee
: Pom a at
 a
<

The tongue helps us to taste different things.",np  sd pt a 2 fs C 1 wo 4  0 2 ee PK 2h OR lh ah s at tL tak b    Ee  Pom a at  a   The tongue helps us to taste different things,the tongue helps us to taste different things,The tongue helps us to ***** different things,,,,
different,"© label different body

| parts of » bird.", label different body   parts of  bird,label different body parts of bird,Label ********* body parts of bird,,,,
long,"It takes the body a long tme to dig
Senne CANNOL DG yea >

II.",It takes the body a long tme to dig Senne CANNOL DG yea   II,it takes the body a long tme to dig senne,It takes the body a **** tme to dig senne,,,,
while,"While making a toy horse, we make a frame first.",While making a toy horse we make a frame first,while making a toy horse,***** making a toy horse,,,,
worse,"Mab lela  pening + Infer that warm air is lighter and rises up 5 Seth the following
\CG-4| er : aks ean of water + Wite Yes or No
en 06-4) * Saving water evalabie worse + Comprehension questions
+ Understand ways of saving water + HOTS
: } Do it yourself: Storing water Virtual tour: Water cycle E-
| UNIT VI C-1.1 Observes and identifies the natural components In the environment lo Components + Draw and colour a scenery + Explain + Fill in the blanks
142.",Mab lela  pening  Infer that warm air is lighter and rises up 5 Seth the following CG4 er  aks ean of water  Wite Yes or No en 064  Saving water evalabie worse  Comprehension questions  Understand ways of saving water  HOTS   Do it yourself Storing water Virtual tour Water cycle E  UNIT VI C11 Observes and identifies the natural components In the environment lo Components  Draw and colour a scenery  Explain  Fill in the blanks 142,en 064 saving water evalabie worse comprehension questions understand ways,En 064 saving water evalabie ***** comprehension questions understand ways,,,,
collection,"¢ ae
* Change of state | * Observe change of state of water + Comprehension questions
| (CG-1\C6-6| CG-7) + Infer that water changes its form on cooling + HOTS
| Do it yourself: Data collection
2.", ae  Change of state   Observe change of state of water  Comprehension questions  CG1C66 CG7  Infer that water changes its form on cooling  HOTS  Do it yourself Data collection 2,hots do it yourself data collection 2,Hots do it yourself data ********** 2,,,,
way,"Yoga, a healthy way of

life, originated in India.",Yoga a healthy way of  life originated in India,yoga a healthy way of life originated in,Yoga a healthy *** of life originated in,,,,
complete,"The house sparrow has been known to live in dose
contact with human deings, instead of foresta, For years,
Dy R has peace\sy coaxisted with us in our buldings and
Hy) Gardens, but in the last two decades, ther poputation has

assist learners understand
their strengths and

weaknesses, thereby take
remedial strategies to
improve learning

Page 159


Page nummber: 5
NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO
tducation 2024; Preparatory Stage

Chapter
Ke
Currioutat Compotoncion Cone ote Warm-up/Aativity Talk Exercises
Gaata
Ny (5-18 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer + Golveaa + Pillin the blanks
1 My aay {D4 Povmpotheane (hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly + Plead, understand and anawerqueationa | riddle |* Correct the slalements
CO HOON CR) Deere sterile: tahaaste: anne parnatinee can aatily peed pieetetiony + Organs and |* Maka two neckiacad from ona + Tick the corract reason
re CRD Pegnmeeerste: ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers + Solve the rddla * Comprahansion questions
 aren ree ie work |* Label the parts of the digestive
+ Spot the differances system
* Think and anawer * HOTS
Do it yourself Safaty
t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een * Components of |+ Pleture-based laak fo understand how | + Talk about + Pill in the blanks ""
We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food * Tick the corract option
UNS NS C2 eevee and clemorlten cuittural vnenity of food + Ralanced diet * Read a poem on proteing |+ Complete the table
> }+ Foods that + Test for tha praserice of fat + Read the case and tick the
| shoul!",The house sparrow has been known to live in dose contact with human deings instead of foresta For years Dy R has peacesy coaxisted with us in our buldings and Hy Gardens but in the last two decades ther poputation has  assist learners understand their strengths and  weaknesses thereby take remedial strategies to improve learning  Page 159   Page nummber 5 NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO tducation 2024 Preparatory Stage  Chapter Ke Currioutat Compotoncion Cone ote WarmupAativity Talk Exercises Gaata Ny 518 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer  Golveaa  Pillin the blanks 1 My aay D4 Povmpotheane hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly  Plead understand and anawerqueationa  riddle  Correct the slalements CO HOON CR Deere sterile tahaaste anne parnatinee can aatily peed pieetetiony  Organs and  Maka two neckiacad from ona  Tick the corract reason re CRD Pegnmeeerste ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers  Solve the rddla  Comprahansion questions  aren ree ie work  Label the parts of the digestive  Spot the differances system  Think and anawer  HOTS Do it yourself Safaty t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een  Components of  Pleturebased laak fo understand how   Talk about  Pill in the blanks  We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food  Tick the corract option UNS NS C2 eevee and clemorlten cuittural vnenity of food  Ralanced diet  Read a poem on proteing  Complete the table   Foods that  Test for tha praserice of fat  Read the case and tick the  shoul,read a poem on proteing complete the table foods that,Read a poem on proteing ******** the table foods that,,,,
spot,"The house sparrow has been known to live in dose
contact with human deings, instead of foresta, For years,
Dy R has peace\sy coaxisted with us in our buldings and
Hy) Gardens, but in the last two decades, ther poputation has

assist learners understand
their strengths and

weaknesses, thereby take
remedial strategies to
improve learning

Page 159


Page nummber: 5
NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO
tducation 2024; Preparatory Stage

Chapter
Ke
Currioutat Compotoncion Cone ote Warm-up/Aativity Talk Exercises
Gaata
Ny (5-18 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer + Golveaa + Pillin the blanks
1 My aay {D4 Povmpotheane (hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly + Plead, understand and anawerqueationa | riddle |* Correct the slalements
CO HOON CR) Deere sterile: tahaaste: anne parnatinee can aatily peed pieetetiony + Organs and |* Maka two neckiacad from ona + Tick the corract reason
re CRD Pegnmeeerste: ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers + Solve the rddla * Comprahansion questions
 aren ree ie work |* Label the parts of the digestive
+ Spot the differances system
* Think and anawer * HOTS
Do it yourself Safaty
t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een * Components of |+ Pleture-based laak fo understand how | + Talk about + Pill in the blanks ""
We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food * Tick the corract option
UNS NS C2 eevee and clemorlten cuittural vnenity of food + Ralanced diet * Read a poem on proteing |+ Complete the table
> }+ Foods that + Test for tha praserice of fat + Read the case and tick the
| shoul!",The house sparrow has been known to live in dose contact with human deings instead of foresta For years Dy R has peacesy coaxisted with us in our buldings and Hy Gardens but in the last two decades ther poputation has  assist learners understand their strengths and  weaknesses thereby take remedial strategies to improve learning  Page 159   Page nummber 5 NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO tducation 2024 Preparatory Stage  Chapter Ke Currioutat Compotoncion Cone ote WarmupAativity Talk Exercises Gaata Ny 518 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer  Golveaa  Pillin the blanks 1 My aay D4 Povmpotheane hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly  Plead understand and anawerqueationa  riddle  Correct the slalements CO HOON CR Deere sterile tahaaste anne parnatinee can aatily peed pieetetiony  Organs and  Maka two neckiacad from ona  Tick the corract reason re CRD Pegnmeeerste ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers  Solve the rddla  Comprahansion questions  aren ree ie work  Label the parts of the digestive  Spot the differances system  Think and anawer  HOTS Do it yourself Safaty t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een  Components of  Pleturebased laak fo understand how   Talk about  Pill in the blanks  We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food  Tick the corract option UNS NS C2 eevee and clemorlten cuittural vnenity of food  Ralanced diet  Read a poem on proteing  Complete the table   Foods that  Test for tha praserice of fat  Read the case and tick the  shoul,the parts of the digestive spot the differances system think,The parts of the digestive **** the differances system think,,,,
but,"r- ;
Sn OS ubuntu

Technology cannot replace the teacher, but a teacher with the right technical tools can do wonders in the
class.",r  Sn OS ubuntu  Technology cannot replace the teacher but a teacher with the right technical tools can do wonders in the class,technology cannot replace the teacher but a teacher with the,Technology cannot replace the teacher *** a teacher with the,,,,
windpipe,"The respiratory system consists
of the nose, windpipe and lungs.",The respiratory system consists of the nose windpipe and lungs,system consists of the nose windpipe and lungs,System consists of the nose ******** and lungs,,,,
mass,"Colour the things that need air
(CG-1|06-2106-4 i + Prove that air occupies space water vapour | to move
06-4) 06-7) + Prove that air has mass changi : :
; + Find out that air contains dust particles ng + Comprehension questions
+ Prove that air contains water vapour to water + HOTS
n° + Weave a story droplets
+ Infer that air helps in burning
4.",Colour the things that need air CG10621064 i  Prove that air occupies space water vapour  to move 064 067  Prove that air has mass changi     Find out that air contains dust particles ng  Comprehension questions  Prove that air contains water vapour to water  HOTS n  Weave a story droplets  Infer that air helps in burning 4,067 prove that air has mass changi find out that,067 prove that air has **** changi find out that,,,,
gift,Jenny received a beautifully wrapped birthday gift.,Jenny received a beautifully wrapped birthday gift,received a beautifully wrapped birthday gift,Received a beautifully wrapped birthday ****,,,,
fresh,"ano ©)

COYSH

(BOeDA® ais
OS we @ Healthy diet: We must eat

w th & fresh fruits and vegetables,
Se cereals and pulses.",ano   COYSH  BOeDA ais OS we  Healthy diet We must eat  w th  fresh fruits and vegetables Se cereals and pulses,we must eat w th fresh fruits and vegetables se,We must eat w th ***** fruits and vegetables se,,,,
internal,"They are called the internal
organs.",They are called the internal organs,they are called the internal organs,They are called the ******** organs,,,,
produce,"The reproductive system

The reproductive system helps to produce babies.",The reproductive system  The reproductive system helps to produce babies,the reproductive system helps to produce babies,The reproductive system helps to ******* babies,,,,
enema,"Insert a straw | b Enews coensst need | ears ten Neng nou alee bare Anema Neve
straw-like mouth parts that help _| in the pace and suck
i

= Identity he natonal enema of | been on the Lath even before the appearance of human bewwps.",Insert a straw  b Enews coensst need  ears ten Neng nou alee bare Anema Neve strawlike mouth parts that help  in the pace and suck i   Identity he natonal enema of  been on the Lath even before the appearance of human bewwps,suck i identity he natonal enema of been on the,Suck i identity he natonal ***** of been on the,,,,
sot,"nectar using similar mouth parts | ne class | rrcnsary data |
+ denign Bookmart | Acévy %

skill-based activities

| + feed end enact a tale, | every country Nas its national animal Declaring any animal as a

;

|

'

/

'

LR  I) national anual of country sot only gives the cnzens of that |

Biting and chewing food - Y
x || that strive to fulfil Caowy sure gna reson vara he
( Pacey) >> cx a ere Ca fn saving the animal from hunting.",nectar using similar mouth parts  ne class  rrcnsary data   denign Bookmart  Acvy   skillbased activities    feed end enact a tale  every country Nas its national animal Declaring any animal as a            LR  I national anual of country sot only gives the cnzens of that   Biting and chewing food  Y x  that strive to fulfil Caowy sure gna reson vara he  Pacey  cx a ere Ca fn saving the animal from hunting,i national anual of country sot only gives the cnzens,I national anual of country *** only gives the cnzens,,,,
hop,"What do you do to
pace Seer TE) re Cored oe
| hop) crawi() nm) side) me
} Work in pais and play hopscotch.",What do you do to pace Seer TE re Cored oe  hop crawi nm side me  Work in pais and play hopscotch,seer te re cored oe hop crawi nm side me,Seer te re cored oe *** crawi nm side me,,,,
if,"Latest National
Curriculum
Framework for
School Education:
Preparatory Stage

Which of the two ectons will you perform first
if you Nave to eat an apple?",Latest National Curriculum Framework for School Education Preparatory Stage  Which of the two ectons will you perform first if you Nave to eat an apple,ectons will you perform first if you nave to eat,Ectons will you perform first ** you nave to eat,,,,
card,"Our Environment 140
Environment
Learning by Doing: Cross-curricular Project-1 Saga
(Animal Diaries) :
Learning by Doing: Cross-curricular Project-2 Ase 13
(Water: A Precious Treasure) :
Project-based Learning (Bring Back House Sparrows)
Assessment: Model Test Paper-1 152-154
Assessment: Model Test Paper-2 155-1517)
r

360-degree Holistic Progress Card (Comprehensive) 158-160



Page nummber: 3
LEARNING OUTCOMES

WARM-UP

interactive tasks to
engage learners ee

ACTIVITY

to aid in
experiential
learning

significant learning outcomes
that the learners will achieve
on completion of the lesson

Living Things Move o
| eran
; \Y/ eontiome
!",Our Environment 140 Environment Learning by Doing Crosscurricular Project1 Saga Animal Diaries  Learning by Doing Crosscurricular Project2 Ase 13 Water A Precious Treasure  Projectbased Learning Bring Back House Sparrows Assessment Model Test Paper1 152154 Assessment Model Test Paper2 1551517 r  360degree Holistic Progress Card Comprehensive 158160    Page nummber 3 LEARNING OUTCOMES  WARMUP  interactive tasks to engage learners ee  ACTIVITY  to aid in experiential learning  significant learning outcomes that the learners will achieve on completion of the lesson  Living Things Move o  eran  Y eontiome ,1551517 r 360degree holistic progress card comprehensive 158160 page nummber,1551517 r 360degree holistic progress **** comprehensive 158160 page nummber,,,,
walk,We can walk and jump.,We can walk and jump,we can walk and jump,We can **** and jump,,,,
single,"What are the single
units that make up a wall called?",What are the single units that make up a wall called,what are the single units that make up,What are the ****** units that make up,,,,
had,"Just as the gift had ribbons and wrapping paper outside and a storybook
inside, our bodies have some parts that are seen from the outside and some
other parts that are present inside.",Just as the gift had ribbons and wrapping paper outside and a storybook inside our bodies have some parts that are seen from the outside and some other parts that are present inside,just as the gift had ribbons and wrapping paper,Just as the gift *** ribbons and wrapping paper,,,,
carbon,It also helps in removing carbon dioxide gas from the body.,It also helps in removing carbon dioxide gas from the body,it also helps in removing carbon dioxide gas from the,It also helps in removing ****** dioxide gas from the,,,,
for,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,the latest national curriculum framework for school education tcomprisesarich suite,The latest national curriculum framework *** school education tcomprisesarich suite,,,,
balloon,Inflate a balloon by blowing air into it.,Inflate a balloon by blowing air into it,inflate a balloon by blowing air into,Inflate a ******* by blowing air into,,,,
on,"Altura is hosted on MEE (Macmillan Education Everywhere), a Learning Management System (LMS) that
offers Schools a platform which they can easily adapt to.",Altura is hosted on MEE Macmillan Education Everywhere a Learning Management System LMS that offers Schools a platform which they can easily adapt to,altura is hosted on mee macmillan education everywhere,Altura is hosted ** mee macmillan educati** everywhere,,,,
tick,Tick (W) the correct option.,Tick W the correct option,tick w the correct option,**** w the correct option,,,,
known,"The house sparrow has been known to live in dose
contact with human deings, instead of foresta, For years,
Dy R has peace\sy coaxisted with us in our buldings and
Hy) Gardens, but in the last two decades, ther poputation has

assist learners understand
their strengths and

weaknesses, thereby take
remedial strategies to
improve learning

Page 159


Page nummber: 5
NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO
tducation 2024; Preparatory Stage

Chapter
Ke
Currioutat Compotoncion Cone ote Warm-up/Aativity Talk Exercises
Gaata
Ny (5-18 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer + Golveaa + Pillin the blanks
1 My aay {D4 Povmpotheane (hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly + Plead, understand and anawerqueationa | riddle |* Correct the slalements
CO HOON CR) Deere sterile: tahaaste: anne parnatinee can aatily peed pieetetiony + Organs and |* Maka two neckiacad from ona + Tick the corract reason
re CRD Pegnmeeerste: ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers + Solve the rddla * Comprahansion questions
 aren ree ie work |* Label the parts of the digestive
+ Spot the differances system
* Think and anawer * HOTS
Do it yourself Safaty
t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een * Components of |+ Pleture-based laak fo understand how | + Talk about + Pill in the blanks ""
We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food * Tick the corract option
UNS NS C2 eevee and clemorlten cuittural vnenity of food + Ralanced diet * Read a poem on proteing |+ Complete the table
> }+ Foods that + Test for tha praserice of fat + Read the case and tick the
| shoul!",The house sparrow has been known to live in dose contact with human deings instead of foresta For years Dy R has peacesy coaxisted with us in our buldings and Hy Gardens but in the last two decades ther poputation has  assist learners understand their strengths and  weaknesses thereby take remedial strategies to improve learning  Page 159   Page nummber 5 NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO tducation 2024 Preparatory Stage  Chapter Ke Currioutat Compotoncion Cone ote WarmupAativity Talk Exercises Gaata Ny 518 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer  Golveaa  Pillin the blanks 1 My aay D4 Povmpotheane hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly  Plead understand and anawerqueationa  riddle  Correct the slalements CO HOON CR Deere sterile tahaaste anne parnatinee can aatily peed pieetetiony  Organs and  Maka two neckiacad from ona  Tick the corract reason re CRD Pegnmeeerste ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers  Solve the rddla  Comprahansion questions  aren ree ie work  Label the parts of the digestive  Spot the differances system  Think and anawer  HOTS Do it yourself Safaty t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een  Components of  Pleturebased laak fo understand how   Talk about  Pill in the blanks  We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food  Tick the corract option UNS NS C2 eevee and clemorlten cuittural vnenity of food  Ralanced diet  Read a poem on proteing  Complete the table   Foods that  Test for tha praserice of fat  Read the case and tick the  shoul,the house sparrow has been known to live in dose,The house sparrow has been ***** to live in dose,,,,
do,"r- ;
Sn OS ubuntu

Technology cannot replace the teacher, but a teacher with the right technical tools can do wonders in the
class.",r  Sn OS ubuntu  Technology cannot replace the teacher but a teacher with the right technical tools can do wonders in the class,the right technical tools can do wonders in the class,The right technical tools can ** wonders in the class,,,,
