dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence
identify,"The grade book helps teachers to easily identify the improvement
areas for learners, and then to allocate meaningful remedial activities.",The grade book helps teachers to easily identify the improvement areas for learners and then to allocate meaningful remedial activities,book helps teachers to easily identify the improvement areas for
key,"|* Picture-study birdthatis  |* Read the clues to identify the
C-4.1 Observes and describes diversity among birds in the environment |+ Nests of birds  |* Draw beaks , commonly | birds
Projectbesed leaning: C52 Presents observations and findings through diferent creative modes © Het Oe SIE CIGI CEASE] gx Explain the feet of birds
back claws : + Label the body parts of birds
Bring house i + identify the feather of a bird * Comprehension questions
negones + Make a paper plane * HOTS
C Sey | Study a Colour the picture Virtual tour: Keoladeo Ghana
CGH | Do it yourself; Kalamkari | National Park

ces SSS

Chapter:

Key

ivi Talk Exercises
Concepts Warm-up/Activity a 3

Curricular Competencies
Goals

7.", Picturestudy birdthatis   Read the clues to identify the C41 Observes and describes diversity among birds in the environment  Nests of birds   Draw beaks  commonly  birds Projectbesed leaning C52 Presents observations and findings through diferent creative modes  Het Oe SIE CIGI CEASE gx Explain the feet of birds back claws   Label the body parts of birds Bring house i  identify the feather of a bird  Comprehension questions negones  Make a paper plane  HOTS C Sey  Study a Colour the picture Virtual tour Keoladeo Ghana CGH  Do it yourself Kalamkari  National Park  ces SSS  Chapter  Key  ivi Talk Exercises Concepts WarmupActivity a 3  Curricular Competencies Goals  7,national park ces sss chapter key ivi talk exercises concepts
we,"https://mee.macmillaneducation.com/

Col = Beaks of beds
body Pats of Bled i} Gaz a
et ar reat dy a SIT a mtn immry oe

orm = es



Page nummber: 2
_ CHAPTER

| "" UNIT
Unit | pyiBody
The Human Body
The Food We Eat

Unit Il Pay: a :
we World Around Us.|>: Living and Non-Living Things 35
4.",httpsmeemacmillaneducationcom  Col  Beaks of beds body Pats of Bled i Gaz a et ar reat dy a SIT a mtn immry oe  orm  es    Page nummber 2  CHAPTER    UNIT Unit  pyiBody The Human Body The Food We Eat  Unit Il Pay a  we World Around Us Living and NonLiving Things 35 4,the human body the food we eat unit il pay
stem,"bo eaten | * Make mixed frult salad corract option
raw }¢ Sabet about roughage + Comprehension questions
* Food audit + HOTS
Do It yoursalf; Kiteh d
: bal alla Virtual tour Healthy and junkfood
UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent * Charactaristics of | + Sort things into groups * Describe |* Fillin the flow chart
XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things * Make a cucumber salad movement * Choose the correct word to
Noniving environment |» Comparison of [+ Observe the process of breathing In an complete each sentence
Tringe living and non- | * Compare pictures of oneself animal + Fill ln the blanks
ORIKNE-MOO-B ving things * Understand movement * Comprehension questions
+ Understand response to stimuli + HOTS
| + List the young ones of animals _ pad
UNIT it O11 Observes and Kentiiies animals in the environment |* Roots, stem, * Classify plants into different types + Role-play * Choose the correct option =
4 Pamote O13 Asks questions and makes predictions about simple pattems such as | flowers, fruits and |* Draw a plant about the « Label the parts of a plant
Pant erengonert fv, formation of rats fom flowers and peminaon | seedehnclone |: {derstand the functions of roots | importance of |+ Sequencing
eo} > + v i
CO-1HS-203-4 relies ae Stans * Picture-based task about the stem Mech Identify the type of plant
OOH O21 Kientiies the parts of plants thal are eaten as food .",bo eaten   Make mixed frult salad corract option raw  Sabet about roughage  Comprehension questions  Food audit  HOTS Do It yoursalf Kiteh d  bal alla Virtual tour Healthy and junkfood UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent  Charactaristics of   Sort things into groups  Describe  Fillin the flow chart XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things  Make a cucumber salad movement  Choose the correct word to Noniving environment  Comparison of  Observe the process of breathing In an complete each sentence Tringe living and non   Compare pictures of oneself animal  Fill ln the blanks ORIKNEMOOB ving things  Understand movement  Comprehension questions  Understand response to stimuli  HOTS   List the young ones of animals  pad UNIT it O11 Observes and Kentiiies animals in the environment  Roots stem  Classify plants into different types  Roleplay  Choose the correct option  4 Pamote O13 Asks questions and makes predictions about simple pattems such as  flowers fruits and  Draw a plant about the  Label the parts of a plant Pant erengonert fv formation of rats fom flowers and peminaon  seedehnclone  derstand the functions of roots  importance of  Sequencing eo   v i CO1HS2034 relies ae Stans  Picturebased task about the stem Mech Identify the type of plant OOH O21 Kientiies the parts of plants thal are eaten as food ,animals in the environment roots stem classify plants into different
he,"O db ro

Page 32

Katomtet

Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6
peacock im Kalembon, » popsla art form of Aniiry Prato aod Taenge
Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen, ey sae

Refer to he teserect and find out more aut Kalen Ad @ Oe outiow
wth ot

¥



Page nummber: 4
They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSS-CURRICUL AR PROJECT

the mouth and swallow the food.",O db ro  Page 32  Katomtet  Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6 peacock im Kalembon  popsla art form of Aniiry Prato aod Taenge Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen ey sae  Refer to he teserect and find out more aut Kalen Ad  Oe outiow wth ot      Page nummber 4 They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSSCURRICUL AR PROJECT  the mouth and swallow the food,pen ey sae refer to he teserect and find out
study,"{tasks to develop knowledge, understanding and practical
skills through a study of interconnected topics

ANIMAL DIARIES

Have you scen a butterfly feeding on nectar?",tasks to develop knowledge understanding and practical skills through a study of interconnected topics  ANIMAL DIARIES  Have you scen a butterfly feeding on nectar,and practical skills through a study of interconnected topics animal
ah,"O db ro

Page 32

Katomtet

Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6
peacock im Kalembon, » popsla art form of Aniiry Prato aod Taenge
Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen, ey sae

Refer to he teserect and find out more aut Kalen Ad @ Oe outiow
wth ot

¥



Page nummber: 4
They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSS-CURRICUL AR PROJECT

the mouth and swallow the food.",O db ro  Page 32  Katomtet  Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6 peacock im Kalembon  popsla art form of Aniiry Prato aod Taenge Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen ey sae  Refer to he teserect and find out more aut Kalen Ad  Oe outiow wth ot      Page nummber 4 They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSSCURRICUL AR PROJECT  the mouth and swallow the food,0 dome on come ot ah fara wath 4 gamarind
to,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,altura macmillan education introduces you to a new world of
preparatory,"Latest National
Curriculum
Framework for
School Education:
Preparatory Stage

Which of the two ectons will you perform first
if you Nave to eat an apple?",Latest National Curriculum Framework for School Education Preparatory Stage  Which of the two ectons will you perform first if you Nave to eat an apple,curriculum framework for school education preparatory stage which of the
below,Please login to MEE using the URL below and experience a new world of blended learning.,Please login to MEE using the URL below and experience a new world of blended learning,to mee using the url below and experience a new
digestion,"This breakdown of food

mouth

happens during digestion.",This breakdown of food  mouth  happens during digestion,of food mouth happens during digestion
remedial,"The grade book helps teachers to easily identify the improvement
areas for learners, and then to allocate meaningful remedial activities.",The grade book helps teachers to easily identify the improvement areas for learners and then to allocate meaningful remedial activities,and then to allocate meaningful remedial activities
because,"We can stand erect because

a. our respiratory system helps take in oxygen gas and give
out carbon dioxide gas.",We can stand erect because  a our respiratory system helps take in oxygen gas and give out carbon dioxide gas,we can stand erect because a our respiratory system
force,"Solids, Liquids and Gases 101

Materials and I
Moving Things Force and Motion 109
10.",Solids Liquids and Gases 101  Materials and I Moving Things Force and Motion 109 10,materials and i moving things force and motion 109 10
carried,"Waste generated by the
body is also carried by the blood to the organs

that help in removing the waste from the body.",Waste generated by the body is also carried by the blood to the organs  that help in removing the waste from the body,by the body is also carried by the blood to
organ,"> discuss different
organ systems.", discuss different organ systems,discuss different organ systems
think,"a
eae Z| || the vision of the aS ee
Think end answer.",a eae Z  the vision of the aS ee Think end answer,vision of the as ee think end answer
mobile,"Be it quizzes, assessments or
virtual classrooms, one can access them all irrespective of the location, with the secure mobile App available
for both Android and iOS devices, or on a Windows Laptop.",Be it quizzes assessments or virtual classrooms one can access them all irrespective of the location with the secure mobile App available for both Android and iOS devices or on a Windows Laptop,the location with the secure mobile app available for both
identify,"The grade book helps teachers to easily identify the improvement
areas for learners, and then to allocate meaningful remedial activities.",The grade book helps teachers to easily identify the improvement areas for learners and then to allocate meaningful remedial activities,book helps teachers to easily identify the improvement areas for
system,"Altura is hosted on MEE (Macmillan Education Everywhere), a Learning Management System (LMS) that
offers Schools a platform which they can easily adapt to.",Altura is hosted on MEE Macmillan Education Everywhere a Learning Management System LMS that offers Schools a platform which they can easily adapt to,education everywhere a learning management system lms that offers schools
connect,"brain

stomach lungs

kidneys

external organs internal organs

Eyes, ears, nose, tongue and skin are called the sense organs as they help us to
connect with the outside world.",brain  stomach lungs  kidneys  external organs internal organs  Eyes ears nose tongue and skin are called the sense organs as they help us to connect with the outside world,as they help us to connect with the outside world
draw,"infer the importance of nests © compare the body parts of a
| flghthess bird with a bird hat Men

(Werm-up)° Na eget nt 1 55 * Critical Tang Comensarication © CrewOvity >=
Draw or paste a picture
of a bird that you have
een.",infer the importance of nests  compare the body parts of a  flghthess bird with a bird hat Men  Wermup Na eget nt 1 55  Critical Tang Comensarication  CrewOvity  Draw or paste a picture of a bird that you have een,55 critical tang comensarication crewovity draw or paste a picture
you,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,about altura macmillan education introduces you to a new world
puzzle,"Share a

IAL puzzle and ask your friends to solve it.",Share a  IAL puzzle and ask your friends to solve it,share a ial puzzle and ask your friends
prepare,"Page nummber: 6
21st CENTURY SKILLS

In the aist-century classroom, it is necessary to prepare learners for the abilities and skills that
build the foundation for lifelong learning.",Page nummber 6 21st CENTURY SKILLS  In the aistcentury classroom it is necessary to prepare learners for the abilities and skills that build the foundation for lifelong learning,classroom it is necessary to prepare learners for the abilities
pair,Why do we use a cloth or a pair of tongs to handle hot objects?,Why do we use a cloth or a pair of tongs to handle hot objects,use a cloth or a pair of tongs to handle
view,"Parents, too, get access to view the performance of
their children.",Parents too get access to view the performance of their children,parents too get access to view the performance of their
saved,"Do it yourself: Weather record
11, Water C21 Identifies supports + Sources of water |» Weave a story + Talkabout | + Answer ina word or two
Cross-ourricular C43 fe aa cutionee ear si os + Water cycle * Colour a picture and infer the source of | dewdrops [+ True or false
project 2: Water, | Discusses saved .",Do it yourself Weather record 11 Water C21 Identifies supports  Sources of water  Weave a story  Talkabout   Answer ina word or two Crossourricular C43 fe aa cutionee ear si os  Water cycle  Colour a picture and infer the source of  dewdrops  True or false project 2 Water  Discusses saved ,false project 2 water discusses saved
respiratory,"72, 77, 8891, 93, 94, 99, 101,

| Speaking 102, 105, 109, 119, 120, 126, 129, 132, 133, 138, 139, 140, 146

23, 70, 71, 87, 88-91, 98

~ | 34, 8891, 137
34, 8891, 137

Information Literac

-91, 138, 139 _

Active

Experimentation | 138, 139

Experiential Learning 27, 28, 34, 36, 37, 63, 111, 117, 121, 124, 129
Observation

Initiative
Social SI

26, 27, 40, 102, 103, 105, 106, 111, 117, 118, 119, 121, 124, 129;

TI a7

Sports-/Games-
integrated Learnt



Page nummber: 7
Unit I

The Human Body

7 My Body

LESSON SCHEMA [i cgi SIS le esas acetone ieiearenh S cl a ie, jg :

spot skeletal system
:..- muscular system
jes digestive system
jee respiratory system
sense organs

i--- circulatory system

++ excretory system
*+= reproductive system


i
'
i
i
1
1
1
nervous system
)
i
1
1
i
I
!",72 77 8891 93 94 99 101   Speaking 102 105 109 119 120 126 129 132 133 138 139 140 146  23 70 71 87 8891 98    34 8891 137 34 8891 137  Information Literac  91 138 139   Active  Experimentation  138 139  Experiential Learning 27 28 34 36 37 63 111 117 121 124 129 Observation  Initiative Social SI  26 27 40 102 103 105 106 111 117 118 119 121 124 129  TI a7  SportsGames integrated Learnt    Page nummber 7 Unit I  The Human Body  7 My Body  LESSON SCHEMA i cgi SIS le esas acetone ieiearenh S cl a ie jg   spot skeletal system  muscular system jes digestive system jee respiratory system sense organs  i circulatory system   excretory system  reproductive system   i  i i 1 1 1 nervous system  i 1 1 i I ,system jes digestive system jee respiratory system sense organs i
drink,"Water: We must drink
enough water every day.",Water We must drink enough water every day,water we must drink enough water every day
component,"Our C-4.2 Describes relationships (including between humans and animals/nature) | of the + Identify living and non-living things dependency |+ Tick the correct option
Environment C-.3 Asks questions and makes predictions about simple pattems (food chain) | environment __| + Name two plants and animals on other living |» Comprehension questions
(CG-1\CG-3| CG-4| C-3.1 Describes the basic safety needs and protection of birds and animals biotic and abiotic |+ Draw and colour an abiotic component | things .",Our C42 Describes relationships including between humans and animalsnature  of the  Identify living and nonliving things dependency  Tick the correct option Environment C3 Asks questions and makes predictions about simple pattems food chain  environment   Name two plants and animals on other living  Comprehension questions CG1CG3 CG4 C31 Describes the basic safety needs and protection of birds and animals biotic and abiotic  Draw and colour an abiotic component  things ,draw and colour an abiotic component things
learnt,"72, 77, 8891, 93, 94, 99, 101,

| Speaking 102, 105, 109, 119, 120, 126, 129, 132, 133, 138, 139, 140, 146

23, 70, 71, 87, 88-91, 98

~ | 34, 8891, 137
34, 8891, 137

Information Literac

-91, 138, 139 _

Active

Experimentation | 138, 139

Experiential Learning 27, 28, 34, 36, 37, 63, 111, 117, 121, 124, 129
Observation

Initiative
Social SI

26, 27, 40, 102, 103, 105, 106, 111, 117, 118, 119, 121, 124, 129;

TI a7

Sports-/Games-
integrated Learnt



Page nummber: 7
Unit I

The Human Body

7 My Body

LESSON SCHEMA [i cgi SIS le esas acetone ieiearenh S cl a ie, jg :

spot skeletal system
:..- muscular system
jes digestive system
jee respiratory system
sense organs

i--- circulatory system

++ excretory system
*+= reproductive system


i
'
i
i
1
1
1
nervous system
)
i
1
1
i
I
!",72 77 8891 93 94 99 101   Speaking 102 105 109 119 120 126 129 132 133 138 139 140 146  23 70 71 87 8891 98    34 8891 137 34 8891 137  Information Literac  91 138 139   Active  Experimentation  138 139  Experiential Learning 27 28 34 36 37 63 111 117 121 124 129 Observation  Initiative Social SI  26 27 40 102 103 105 106 111 117 118 119 121 124 129  TI a7  SportsGames integrated Learnt    Page nummber 7 Unit I  The Human Body  7 My Body  LESSON SCHEMA i cgi SIS le esas acetone ieiearenh S cl a ie jg   spot skeletal system  muscular system jes digestive system jee respiratory system sense organs  i circulatory system   excretory system  reproductive system   i  i i 1 1 1 nervous system  i 1 1 i I ,129 ti a7 sportsgames integrated learnt page nummber 7 unit
strong,"classroom/home-based group projects
to develop research skills

MY INDIA, MY PRIDE

Snippets to instil national pride through the
knowledge of India and its varied culture,

° oe * Alter the completion of te IN
heritage, traditions, customs and strong ethics ea @- Hye ar
(hat has empacted the Note to the teacher
= == tal

| Divide the students into teams.",classroomhomebased group projects to develop research skills  MY INDIA MY PRIDE  Snippets to instil national pride through the knowledge of India and its varied culture   oe  Alter the completion of te IN heritage traditions customs and strong ethics ea  Hye ar hat has empacted the Note to the teacher   tal   Divide the students into teams,in heritage traditions customs and strong ethics ea hye ar
focus,"With this focus on creating future-ready leamers,
Altura integrates a range of 21st century skills with the course content to develop higher order
thinking skills, such as critical and creative thinking; literacy skills such as information, media and
technology skills; and life skills such as leadership, initiative and productivity skills.",With this focus on creating futureready leamers Altura integrates a range of 21st century skills with the course content to develop higher order thinking skills such as critical and creative thinking literacy skills such as information media and technology skills and life skills such as leadership initiative and productivity skills,with this focus on creating futureready leamers
muscular,"72, 77, 8891, 93, 94, 99, 101,

| Speaking 102, 105, 109, 119, 120, 126, 129, 132, 133, 138, 139, 140, 146

23, 70, 71, 87, 88-91, 98

~ | 34, 8891, 137
34, 8891, 137

Information Literac

-91, 138, 139 _

Active

Experimentation | 138, 139

Experiential Learning 27, 28, 34, 36, 37, 63, 111, 117, 121, 124, 129
Observation

Initiative
Social SI

26, 27, 40, 102, 103, 105, 106, 111, 117, 118, 119, 121, 124, 129;

TI a7

Sports-/Games-
integrated Learnt



Page nummber: 7
Unit I

The Human Body

7 My Body

LESSON SCHEMA [i cgi SIS le esas acetone ieiearenh S cl a ie, jg :

spot skeletal system
:..- muscular system
jes digestive system
jee respiratory system
sense organs

i--- circulatory system

++ excretory system
*+= reproductive system


i
'
i
i
1
1
1
nervous system
)
i
1
1
i
I
!",72 77 8891 93 94 99 101   Speaking 102 105 109 119 120 126 129 132 133 138 139 140 146  23 70 71 87 8891 98    34 8891 137 34 8891 137  Information Literac  91 138 139   Active  Experimentation  138 139  Experiential Learning 27 28 34 36 37 63 111 117 121 124 129 Observation  Initiative Social SI  26 27 40 102 103 105 106 111 117 118 119 121 124 129  TI a7  SportsGames integrated Learnt    Page nummber 7 Unit I  The Human Body  7 My Body  LESSON SCHEMA i cgi SIS le esas acetone ieiearenh S cl a ie jg   spot skeletal system  muscular system jes digestive system jee respiratory system sense organs  i circulatory system   excretory system  reproductive system   i  i i 1 1 1 nervous system  i 1 1 i I ,ie jg spot skeletal system muscular system jes digestive system
fight,"()
b. fight against diseases.", b fight against diseases,b fight against diseases
pill,"The house sparrow has been known to live in dose
contact with human deings, instead of foresta, For years,
Dy R has peace\sy coaxisted with us in our buldings and
Hy) Gardens, but in the last two decades, ther poputation has

assist learners understand
their strengths and

weaknesses, thereby take
remedial strategies to
improve learning

Page 159


Page nummber: 5
NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO
tducation 2024; Preparatory Stage

Chapter
Ke
Currioutat Compotoncion Cone ote Warm-up/Aativity Talk Exercises
Gaata
Ny (5-18 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer + Golveaa + Pillin the blanks
1 My aay {D4 Povmpotheane (hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly + Plead, understand and anawerqueationa | riddle |* Correct the slalements
CO HOON CR) Deere sterile: tahaaste: anne parnatinee can aatily peed pieetetiony + Organs and |* Maka two neckiacad from ona + Tick the corract reason
re CRD Pegnmeeerste: ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers + Solve the rddla * Comprahansion questions
 aren ree ie work |* Label the parts of the digestive
+ Spot the differances system
* Think and anawer * HOTS
Do it yourself Safaty
t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een * Components of |+ Pleture-based laak fo understand how | + Talk about + Pill in the blanks ""
We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food * Tick the corract option
UNS NS C2 eevee and clemorlten cuittural vnenity of food + Ralanced diet * Read a poem on proteing |+ Complete the table
> }+ Foods that + Test for tha praserice of fat + Read the case and tick the
| shoul!",The house sparrow has been known to live in dose contact with human deings instead of foresta For years Dy R has peacesy coaxisted with us in our buldings and Hy Gardens but in the last two decades ther poputation has  assist learners understand their strengths and  weaknesses thereby take remedial strategies to improve learning  Page 159   Page nummber 5 NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO tducation 2024 Preparatory Stage  Chapter Ke Currioutat Compotoncion Cone ote WarmupAativity Talk Exercises Gaata Ny 518 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer  Golveaa  Pillin the blanks 1 My aay D4 Povmpotheane hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly  Plead understand and anawerqueationa  riddle  Correct the slalements CO HOON CR Deere sterile tahaaste anne parnatinee can aatily peed pieetetiony  Organs and  Maka two neckiacad from ona  Tick the corract reason re CRD Pegnmeeerste ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers  Solve the rddla  Comprahansion questions  aren ree ie work  Label the parts of the digestive  Spot the differances system  Think and anawer  HOTS Do it yourself Safaty t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een  Components of  Pleturebased laak fo understand how   Talk about  Pill in the blanks  We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food  Tick the corract option UNS NS C2 eevee and clemorlten cuittural vnenity of food  Ralanced diet  Read a poem on proteing  Complete the table   Foods that  Test for tha praserice of fat  Read the case and tick the  shoul,fo understand how talk about pill in the blanks we
describe,@ describe Mightioss birds ond waterbirds., describe Mightioss birds ond waterbirds,describe mightioss birds ond waterbirds
there,"|

Do you realise there are | j
different types of birds
around us?",  Do you realise there are  j different types of birds around us,do you realise there are j different types
excretory,"72, 77, 8891, 93, 94, 99, 101,

| Speaking 102, 105, 109, 119, 120, 126, 129, 132, 133, 138, 139, 140, 146

23, 70, 71, 87, 88-91, 98

~ | 34, 8891, 137
34, 8891, 137

Information Literac

-91, 138, 139 _

Active

Experimentation | 138, 139

Experiential Learning 27, 28, 34, 36, 37, 63, 111, 117, 121, 124, 129
Observation

Initiative
Social SI

26, 27, 40, 102, 103, 105, 106, 111, 117, 118, 119, 121, 124, 129;

TI a7

Sports-/Games-
integrated Learnt



Page nummber: 7
Unit I

The Human Body

7 My Body

LESSON SCHEMA [i cgi SIS le esas acetone ieiearenh S cl a ie, jg :

spot skeletal system
:..- muscular system
jes digestive system
jee respiratory system
sense organs

i--- circulatory system

++ excretory system
*+= reproductive system


i
'
i
i
1
1
1
nervous system
)
i
1
1
i
I
!",72 77 8891 93 94 99 101   Speaking 102 105 109 119 120 126 129 132 133 138 139 140 146  23 70 71 87 8891 98    34 8891 137 34 8891 137  Information Literac  91 138 139   Active  Experimentation  138 139  Experiential Learning 27 28 34 36 37 63 111 117 121 124 129 Observation  Initiative Social SI  26 27 40 102 103 105 106 111 117 118 119 121 124 129  TI a7  SportsGames integrated Learnt    Page nummber 7 Unit I  The Human Body  7 My Body  LESSON SCHEMA i cgi SIS le esas acetone ieiearenh S cl a ie jg   spot skeletal system  muscular system jes digestive system jee respiratory system sense organs  i circulatory system   excretory system  reproductive system   i  i i 1 1 1 nervous system  i 1 1 i I ,sense organs i circulatory system excretory system reproductive system i
when,"The leaves of a
touch-me-not plant close when touched.",The leaves of a touchmenot plant close when touched,of a touchmenot plant close when touched
tissue,"Cells of the
same type join together to form a tissue.",Cells of the same type join together to form a tissue,join together to form a tissue
digital,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,school education tcomprisesarich suite of digital interactivities along withacomprehensive learning
flexibility,"Yoga involves various postures called asanas, which
improve the strength and flexibility of the body.",Yoga involves various postures called asanas which improve the strength and flexibility of the body,which improve the strength and flexibility of the body
drawn,"| ;
Look at what your }
classmates have drawn/ i
pasted.",  Look at what your  classmates have drawn i pasted,at what your classmates have drawn i pasted
bladder,"The kidneys,
ureters and urinary bladder form the main
excretory organs of the body.",The kidneys ureters and urinary bladder form the main excretory organs of the body,the kidneys ureters and urinary bladder form the main excretory
join,"Cells of the
same type join together to form a tissue.",Cells of the same type join together to form a tissue,cells of the same type join together to form a
at,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,to successfully handle a lesson at hand
