word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
health,3_science_LS2,food is good for our health,Food is good for our ******,"The jury praised the administration and operation of the Atlanta Police Department , the Fulton Tax Commissioner's Office , the Bellwood and Alpharetta prison farms , Grady Hospital and the Fulton Health Department .","The jury praised the administration and operation of the atlanta police department , the fulton tax commissioner's office , the bellwood and alpharetta prison farms , grady hospital and the fulton ****** department .",Eating vegetables is good for your health.,Eating vegetables is good for your ******.
bottle,3_science_LS2,milk carton or a plastic bottle as the pot,Milk carton or a plastic ****** as the pot,Inside of pieces was glazed with three coats of Creek-Turn bottle green antique glaze .,Inside of pieces was glazed with three coats of creek-turn ****** green antique glaze .,Fill the bottle with water.,Fill the ****** with water.
make,3_science_LS2,vitamins and minerals help to make our bones and teeth,Vitamins and minerals help to **** our bones and teeth,"When the crowd was asked whether it wanted to wait one more term to make the race , it voted no -- and there were no dissents .","When the crowd was asked whether it wanted to wait one more term to **** the race , it voted no -- and there were no dissents .",I make cookies with my mom.,I **** cookies with my mom.
strong,3_science_LS2,grow makes bones and muscles strong and protects the body,Grow makes bones and muscles ****** and protects the body,"Georgia Republicans are getting strong encouragement to enter a candidate in the 1962 governor's race , a top official said Wednesday .","Georgia republicans are getting ****** encouragement to enter a candidate in the 1962 governor's race , a top official said wednesday .",Lions are strong animals.,Lions are ****** animals.
few,3_science_LS2,presence of fat collect a few groundnut seeds a tablespoon,Presence of fat collect a *** groundnut seeds a tablespoon,"In the case of Portugal , which a few weeks ago was rumored ready to walk out of the NATO Council should critics of its Angola policy prove harsh , there has been a noticeable relaxation of tension .","In the case of portugal , which a *** weeks ago was rumored ready to walk out of the nato council should critics of its angola policy prove harsh , there has been a noticeable relaxation of tension .",Only a few candies left.,Only a *** candies left.
distinct,3_science_LS2,has its own unique and distinct food rr which reflects,Has its own unique and ******** food rr which reflects,"The weekly loss is partly counterbalanced by 500 arrivals each week from West Germany , but the hard truth , says Crossman , is that `` The closing off of East Berlin without interference from the West and with the use only of East German , as distinct from Russian , troops was a major Communist victory , which dealt West Berlin a deadly , possibly a fatal , blow .","The weekly loss is partly counterbalanced by 500 arrivals each week from west germany , but the hard truth , says crossman , is that `` the closing off of east berlin without interference from the west and with the use only of east german , as ******** from russian , troops was a major communist victory , which dealt west berlin a deadly , possibly a fatal , blow .", Each animal has distinct features., each animal has ******** features.
living,3_science_LS2,availability people living in coastal areas generally,Availability people ****** in coastal areas generally,"Extension of the ADC program to all children in need living with any relatives , including both parents , as a means of preserving family unity .","Extension of the adc program to all children in need ****** with any relatives , including both parents , as a means of preserving family unity .",Fish are living creatures.,Fish are ****** creatures.
repair,3_science_LS2,others help to grow and repair worn out cells and,Others help to grow and ****** worn out cells and,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways .","The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for ****** work on some of georgia's most heavily traveled highways .",We repair broken toys.,We ****** broken toys.
waste,3_science_LS2,in digesting food throwing out waste and maintaining the body,In digesting food throwing out ***** and maintaining the body,"These programs are volumes of waste paper and lost hours if the citizens of a community must stand aside while land developers tell them when , where , and in what manner the community shall grow .","These programs are volumes of ***** paper and lost hours if the citizens of a community must stand aside while land developers tell them when , where , and in what manner the community shall grow .",Do not waste water.,Do not ***** water.
this,3_science_LS2,outcomes at the end of this lesson the learners will,Outcomes at the end of **** lesson the learners will,"`` Only a relative handful of such reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the size of this city '' .","`` only a relative handful of such reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the size of **** city '' .",This is my book.,**** is my book.
experiential,3_science_LS2,2 evnariantial aa experiential learning test for the,2 evnariantial aa ************ learning test for the,"Demons , fairies , angels , and a host of other spiritual beings were as much a part of the experiential world of western man as were rocks and trees and stars .","Demons , fairies , angels , and a host of other spiritual beings were as much a part of the ************ world of western man as were rocks and trees and stars .", Learning by doing is experiential., learning by doing is ************.
particular,3_science_LS2,each nutrient has a particular function,Each nutrient has a ********** function,Meek expressed particular gratification at the defensive performances of end Happy Nelson and halfback Billy Gannon .,Meek expressed ********** gratification at the defensive performances of end happy nelson and halfback billy gannon .,I like this particular color.,I like this ********** color.
cent,3_science_LS2,daily as nearly 70 per cent of the human body,Daily as nearly 70 per **** of the human body,"Five per cent of the voters in each county must sign petitions requesting that the Republicans be allowed to place names of candidates on the general election ballot , or 2","Five per **** of the voters in each county must sign petitions requesting that the republicans be allowed to place names of candidates on the general election ballot , or 2",I have ten cents.,I have ten ****s.
important,3_science_LS2,types of food it is important that we eat all,Types of food it is ********* that we eat all,"In an important assertion of national leadership in this field , he has issued an executive order establishing the President's committee on Juvenile Delinquency and Crime , to be supported and assisted by a Citizens Advisory Council of recognized authorities on juvenile problems .","In an ********* assertion of national leadership in this field , he has issued an executive order establishing the president's committee on juvenile delinquency and crime , to be supported and assisted by a citizens advisory council of recognized authorities on juvenile problems .",It's important to be kind.,It's ********* to be kind.
good,3_science_LS2,fresh food is good for our health,Fresh food is **** for our health,Sheriff Felix Tabb said the ordinary apparently made good his promise .,Sheriff felix tabb said the ordinary apparently made **** his promise .,You did a good job!,You did a **** job!
place,3_science_LS2,place each food item between,***** each food item between,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county grand jury said friday an investigation of atlanta's recent primary election produced `` no evidence '' that any irregularities took ***** .,Find a cozy place to read.,Find a cozy ***** to read.
importance,3_science_LS2,state the importance of water and roughage,State the ********** of water and roughage,The Charter does stipulate that `` due regard '' shall be paid to the importance of recruiting the staff on `` as wide a geographical basis as possible '' .,The charter does stipulate that `` due regard '' shall be paid to the ********** of recruiting the staff on `` as wide a geographical basis as possible '' .,Water is of great importance.,Water is of great **********.
while,3_science_LS2,food has a pleasant smell while rotten food may have,Food has a pleasant smell ***** rotten food may have,"While emphasizing that technical details were not fully worked out , Pelham said his resolution would seek to set aside the privilege resolution which the House voted through 87-31 .","***** emphasizing that technical details were not fully worked out , pelham said his resolution would seek to set aside the privilege resolution which the house voted through 87-31 .",I read while she draws.,I read ***** she draws.
cumin,3_science_LS2,coconut powder rice mustard and cumin seeds,Coconut powder rice mustard and ***** seeds,"Single-seeded dry fruits used for flavoring include several of the carrot family , such as cumin , dill , fennel , and angelica .","Single-seeded dry fruits used for flavoring include several of the carrot family , such as ***** , dill , fennel , and angelica .", Cumin adds flavor to food., ***** adds flavor to food.
read,3_science_LS2,proteins artintegrated learning read the poem and identify,Proteins artintegrated learning **** the poem and identify,"The resolution , which Barber tossed into the House hopper Friday , will be formally read Monday .","The resolution , which barber tossed into the house hopper friday , will be formally **** monday .",I read a book every night.,I **** a book every night.
start,3_science_LS2,start easy with coriander plants,***** easy with coriander plants,"Each of the organization's ninety-nine members would get two professional posts , such as political affairs officer , a department head or an economist , to start .","Each of the organization's ninety-nine members would get two professional posts , such as political affairs officer , a department head or an economist , to ***** .",Let's start the game.,Let's ***** the game.
about,3_science_LS2,let us learn about the different components of,Let us learn ***** the different components of,"The Highway Department source told The Constitution , however , that Vandiver has not been consulted yet about the plans to issue the new rural roads bonds .","The highway department source told the constitution , however , that vandiver has not been consulted yet ***** the plans to issue the new rural roads bonds .",This book is about animals.,This book is ***** animals.
work,3_science_LS2,our bodies need energy to work and carry out various,Our bodies need energy to **** and carry out various,Fulton legislators `` work with city officials to pass enabling legislation that will permit the establishment of a fair and equitable '' pension plan for city employes .,Fulton legislators `` **** with city officials to pass enabling legislation that will permit the establishment of a fair and equitable '' pension plan for city employes .,Dad goes to work early.,Dad goes to **** early.
grow,3_science_LS2,food also helps the body grow makes bones and muscles,Food also helps the body **** makes bones and muscles,"`` No '' , I said , `` I didn't happen to grow up in Illinois '' .","`` no '' , i said , `` i didn't happen to **** up in illinois '' .",Plants grow from seeds.,Plants **** from seeds.
receive,3_science_LS2,in an appropriate place to receive sufficient sunlight,In an appropriate place to ******* sufficient sunlight,"Nevertheless , `` we feel that in the future Fulton County should receive some portion of these available funds '' , the jurors said .","Nevertheless , `` we feel that in the future fulton county should ******* some portion of these available funds '' , the jurors said .",I receive a gift on my birthday.,I ******* a gift on my birthday.
vegetarian,3_science_LS2,some people prefer to eat vegetarian food while some others,Some people prefer to eat ********** food while some others,"Judge Black , the vegetarian black snake ; ;","Judge black , the ********** black snake ; ;",She follows a vegetarian diet.,She follows a ********** diet.
for,3_science_LS2,obtaining food and utilising it for the various needs of,Obtaining food and utilising it *** the various needs of,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said in term-end presentments that the city executive committee , which had over-all charge of the election , `` deserves the praise and thanks of the city of atlanta '' *** the manner in which the election was conducted .",This gift is for you.,This gift is *** you.
fight,3_science_LS2,to fight diseases,To ***** diseases,"Daniel personally led the fight for the measure , which he had watered down considerably since its rejection by two previous Legislatures , in a public hearing before the House Committee on Revenue and Taxation .","Daniel personally led the ***** for the measure , which he had watered down considerably since its rejection by two previous legislatures , in a public hearing before the house committee on revenue and taxation .",Superheroes fight villains.,Superheroes ***** villains.
water,3_science_LS2,and minerals pn s in water,And minerals pn s in *****,-- Paradise lost to the alleged water needs of Texas' big cities Thursday .,-- paradise lost to the alleged ***** needs of texas' big cities thursday .,I drink water every day.,I drink ***** every day.
needs,3_science_LS2,utilising it for the various needs of the body is,Utilising it for the various ***** of the body is,-- Paradise lost to the alleged water needs of Texas' big cities Thursday .,-- paradise lost to the alleged water ***** of texas' big cities thursday .,She meets all her needs.,She meets all her *****.
your,3_science_LS2,which is your favourite carbohydraterich food,Which is **** favourite carbohydraterich food,"`` Yes , your honor '' , replied Bellows .","`` yes , **** honor '' , replied bellows .",Your shoes are big.,**** shoes are big.
evenly,3_science_LS2,scatter some coriander seeds evenly in the pot and,Scatter some coriander seeds ****** in the pot and,"The music sang nicely , sprinted evenly when necessary , was properly accented and balanced .","The music sang nicely , sprinted ****** when necessary , was properly accented and balanced .",Spread the icing evenly on the cake.,Spread the icing ****** on the cake.
papaya,3_science_LS2,need apple orange grapes mango papaya banana honey method step,Need apple orange grapes mango ****** banana honey method step,No example sentence found.,No example sentence found., Papaya is a tropical fruit., ****** is a tropical fruit.
define,3_science_LS2,define the terms nutrition nutrients,****** the terms nutrition nutrients,He wanted to buy time to strengthen the U. S. and its allies and to define and begin to implement his foreign policy .,He wanted to buy time to strengthen the u. s. and its allies and to ****** and begin to implement his foreign policy .,Can you define this word?,Can you ****** this word?
animal,3_science_LS2,proteins from both plant and animal sources,Proteins from both plant and ****** sources,Mrs. Knauer said she did not think dog owners should be penalized for the city's services to animal care .,Mrs. knauer said she did not think dog owners should be penalized for the city's services to ****** care .,A dog is an animal.,A dog is an ******.
chill,3_science_LS2,step 3 chill the salad and enjoy,Step 3 ***** the salad and enjoy,"The wind from the Rhine was damp and chill , necessitating a fire for warmth .","The wind from the rhine was damp and ***** , necessitating a fire for warmth .", It's chilly outside today., it's chilly outside today.
song,3_science_LS2,code and listen to the song to understand a we,Code and listen to the **** to understand a we,"A crowd of 1,400 is expected for the ceremonies , which will be followed by the show in which the writers will lampoon baseball personalities in skit , dance and song .","A crowd of 1,400 is expected for the ceremonies , which will be followed by the show in which the writers will lampoon baseball personalities in skit , dance and **** .",Sing your favorite song.,Sing your favorite ****.
must,3_science_LS2,items that are eaten raw must however be washed properly,Items that are eaten raw **** however be washed properly,"The largest hurdle the Republicans would have to face is a state law which says that before making a first race , one of two alternative courses must be taken : 1","The largest hurdle the republicans would have to face is a state law which says that before making a first race , one of two alternative courses **** be taken : 1",You must brush your teeth.,You **** brush your teeth.
her,3_science_LS2,recovering from a fracture in her hand,Recovering from a fracture in *** hand,"Mrs. Molvar , who kept reiterating her request that they `` please take a stand '' , said , `` We must have faith in somebody -- on the local level , and it wouldn't be possible for everyone to rush to a school to get their children '' .","Mrs. molvar , who kept reiterating *** request that they `` please take a stand '' , said , `` we must have faith in somebody -- on the local level , and it wouldn't be possible for everyone to rush to a school to get their children '' .",She brought her lunch today.,She brought *** lunch today.
more,3_science_LS2,carbohydraterich food as heshe requires more energy while playing a,Carbohydraterich food as heshe requires **** energy while playing a,The petition said that the couple has not lived together as man and wife for more than a year .,The petition said that the couple has not lived together as man and wife for **** than a year .,"I want more apples, please.","I want **** apples, please."
their,3_science_LS2,we get edible oils from their seeds,We get edible oils from ***** seeds,"Dewey Lawrence , a Tyler lawyer representing the Texas Bankers Association , sounded the opposition keynote when he said it would force banks to violate their contractual obligations with depositors and undermine the confidence of bank customers .","Dewey lawrence , a tyler lawyer representing the texas bankers association , sounded the opposition keynote when he said it would force banks to violate ***** contractual obligations with depositors and undermine the confidence of bank customers .",Their house is big.,***** house is big.
many,3_science_LS2,and protects the body from many diseases,And protects the body from **** diseases,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,The jury said it did find that **** of georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,There are many books in the library.,There are **** books in the library.
cannot,3_science_LS2,roughage cannot be digested by the,Roughage ****** be digested by the,"The escheat law cannot be enforced now because it is almost impossible to locate such property , Daniel declared .","The escheat law ****** be enforced now because it is almost impossible to locate such property , daniel declared .",I cannot reach the cookie jar.,I ****** reach the cookie jar.
sue,3_science_LS2,recap ab a seale eae sue aide ae 2 that,Recap ab a seale eae *** aide ae 2 that,The announcement that the city would sue for recovery on the performance bond was made by City Solicitor David Berger at a press conference following a meeting in the morning with Wagner and other officials of the city and the PTC as well as representatives of an engineering firm that was pulled off the El project before its completion in 1959 .,The announcement that the city would *** for recovery on the performance bond was made by city solicitor david berger at a press conference following a meeting in the morning with wagner and other officials of the city and the ptc as well as representatives of an engineering firm that was pulled off the el project before its completion in 1959 .,People sue for justice.,People *** for justice.
mustard,3_science_LS2,each of coconut powder rice mustard and cumin seeds,Each of coconut powder rice ******* and cumin seeds,"put into a saucepan a cupful of the baked ham gravy , or of the boiled ham liquor , with a half stick of butter , three teaspoonfuls of made mustard , and two mashed garlic cloves .","Put into a saucepan a cupful of the baked ham gravy , or of the boiled ham liquor , with a half stick of butter , three teaspoonfuls of made ******* , and two mashed garlic cloves .",I like mustard on my hot dog.,I like ******* on my hot dog.
union,3_science_LS2,every state my prideg and union territory of india has,Every state my prideg and ***** territory of india has,"The Secretary of State has also solemnly repeated a warning to the Soviet Union that the United States will not stand for another setback in Berlin , an affirmation once again taken up by the council as a whole .","The secretary of state has also solemnly repeated a warning to the soviet ***** that the united states will not stand for another setback in berlin , an affirmation once again taken up by the council as a whole .", The union helps workers., the ***** helps workers.
growth,3_science_LS2,growth of new cells and,****** of new cells and,The White House is taking extraordinary steps to check the rapid growth of juvenile delinquency in the United States .,The white house is taking extraordinary steps to check the rapid ****** of juvenile delinquency in the united states .,Watering plants helps their growth.,Watering plants helps their ******.
essential,3_science_LS2,some are essential for the normal growth,Some are ********* for the normal growth,"`` This is a very modest proposal cut to meet absolutely essential needs '' , he said , `` and with sufficient ' deductible ' requirements to discourage any malingering or unnecessary overcrowding of our hospitals .","`` this is a very modest proposal cut to meet absolutely ********* needs '' , he said , `` and with sufficient ' deductible ' requirements to discourage any malingering or unnecessary overcrowding of our hospitals .",Water is essential for life.,Water is ********* for life.
seen,3_science_LS2,aed study skills seen complete the flow chart,Aed study skills **** complete the flow chart,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money .","`` this is one of the major items in the fulton county general assistance program '' , the jury said , but the state welfare department `` has **** fit to distribute these funds through the welfare departments of all the counties in the state with the exception of fulton county , which receives none of this money .",I've seen that movie before.,I've **** that movie before.
am,3_science_LS2,5 am sa so ee 2,5 ** sa so ee 2,"`` But I am not in favor of a sales or state income tax at this time '' , Mitchell said .","`` but i ** not in favor of a sales or state income tax at this time '' , mitchell said .",I am happy today.,I ** happy today.
sure,3_science_LS2,make sure that the seeds are,Make **** that the seeds are,"Dr. Melvin W. Barnes , superintendent , said he thought the schools were waiting for some leadership , perhaps on the national level , to make sure that whatever steps of planning they took would `` be more fruitful '' , and that he had found that other school districts were not as far along in their planning as this district .","Dr. melvin w. barnes , superintendent , said he thought the schools were waiting for some leadership , perhaps on the national level , to make **** that whatever steps of planning they took would `` be more fruitful '' , and that he had found that other school districts were not as far along in their planning as this district .",Are you sure about that?,Are you **** about that?
derived,3_science_LS2,this energy is derived from the food we,This energy is ******* from the food we,"Its power unit , however , was derived from the reactor of the more modern American nuclear submarine Skipjack .","Its power unit , however , was ******* from the reactor of the more modern american nuclear submarine skipjack .",Sugar is derived from cane.,Sugar is ******* from cane.
scan,3_science_LS2,virtual tour scan the q qr code,Virtual tour **** the q qr code,"To get started , he does not scan the world about him ; ;","To get started , he does not **** the world about him ; ;", I scan the pages for pictures., i **** the pages for pictures.
terry,3_science_LS2,oh richie theyre tasty terry said happily,Oh richie theyre tasty ***** said happily,"Other speakers for the fund-raising dinner include Reps. Edith Green and Al Ullman , Labor Commissioner Norman Nilsen and Mayor Terry Schrunk , all Democrats .","Other speakers for the fund-raising dinner include reps. edith green and al ullman , labor commissioner norman nilsen and mayor ***** schrunk , all democrats .", Terry is my cousin's name., ***** is my cousin's name.
state,3_science_LS2,state the importance of water,***** the importance of water,The grand jury took a swipe at the State Welfare Department's handling of federal funds granted for child welfare services in foster homes .,The grand jury took a swipe at the ***** welfare department's handling of federal funds granted for child welfare services in foster homes .,I live in the state of Texas.,I live in the ***** of texas.
mixed,3_science_LS2,vitamins and minerals mixed fruit salad things you,Vitamins and minerals ***** fruit salad things you,These are then mixed by their sound engineers with the active co-operation of the musical staff and combined into the final two channels which are impressed on the record .,These are then ***** by their sound engineers with the active co-operation of the musical staff and combined into the final two channels which are impressed on the record .,We mixed the paint colors.,We ***** the paint colors.
each,3_science_LS2,each nutrient has a particular,**** nutrient has a particular,"Five per cent of the voters in each county must sign petitions requesting that the Republicans be allowed to place names of candidates on the general election ballot , or 2","Five per cent of the voters in **** county must sign petitions requesting that the republicans be allowed to place names of candidates on the general election ballot , or 2",Each student gets a book.,**** student gets a book.
garden,3_science_LS2,sese ityourself experiential learning kitchen garden grow your own food,Sese ityourself experiential learning kitchen ****** grow your own food,"It is designated as Stage 1 Residential on the Redevelopment Authority's master plan and will feature row houses , garden apartments , four small parks , schools , churches , a shopping center and several small clusters of stores .","It is designated as stage 1 residential on the redevelopment authority's master plan and will feature row houses , ****** apartments , four small parks , schools , churches , a shopping center and several small clusters of stores .",My grandmother loves her garden.,My grandmother loves her ******.
provide,3_science_LS2,some provide energy to the body,Some ******* energy to the body,It urged that the next Legislature `` provide enabling funds and re-set the effective date so that an orderly implementation of the law may be effected '' .,It urged that the next legislature `` ******* enabling funds and re-set the effective date so that an orderly implementation of the law may be effected '' .,Provide food for the birds.,******* food for the birds.
refer,3_science_LS2,ne x fa ath refer to books or the,Ne x fa ath ***** to books or the,Dick Carroll and his accordion ( which we now refer to as `` Freida '' ) held over at Bahia Cabana where `` Sir '' Judson Smith brings in his calypso capers Oct. 13 .,Dick carroll and his accordion ( which we now ***** to as `` freida '' ) held over at bahia cabana where `` sir '' judson smith brings in his calypso capers oct. 13 ., Please refer to the book page., please ***** to the book page.
chart,3_science_LS2,skills seen complete the flow chart to revise the different,Skills seen complete the flow ***** to revise the different,"April sales also were 5% below those of April last year , when volume reached a record for any month , $18.9 billion ( see chart on Page One ) .","April sales also were 5% below those of april last year , when volume reached a record for any month , $18.9 billion ( see ***** on page one ) .",We'll make a chart for colors.,We'll make a ***** for colors.
nearly,3_science_LS2,litres of water daily as nearly 70 per cent of,Litres of water daily as ****** 70 per cent of,"He promised nearly 200 Democratic county committee members at the meeting in the Puddingstone Inn : `` When I come back here after the November election you'll think , ' You're my man -- you're the kind of governor we're glad we elected ' '' .","He promised ****** 200 democratic county committee members at the meeting in the puddingstone inn : `` when i come back here after the november election you'll think , ' you're my man -- you're the kind of governor we're glad we elected ' '' .",It's nearly time to go.,It's ****** time to go.
on,3_science_LS2,exclaimed next as nancy cooked on the frying pan,Exclaimed next as nancy cooked ** the frying pan,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .","The grand jury commented ** a number of other topics , am**g them the atlanta and fult** county purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .",The cat is on the roof.,The cat is ** the roof.
mae,3_science_LS2,roughage ee et cn mae eats sry it ee,Roughage ee et cn *** eats sry it ee,"`` Mae , we're so busy .","`` *** , we're so busy .",,
long,3_science_LS2,ne it takes a long time for the body,Ne it takes a **** time for the body,"-- After a long , hot controversy , Miller County has a new school superintendent , elected , as a policeman put it , in the `` coolest election I ever saw in this county '' .","-- after a **** , hot controversy , miller county has a new school superintendent , elected , as a policeman put it , in the `` coolest election i ever saw in this county '' .",How long is the river?,How **** is the river?
these,3_science_LS2,what do these pictures tell you,What do ***** pictures tell you,It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' .,It recommended that fulton legislators act `` to have ***** laws studied and revised to the end of modernizing and improving them '' .,These are my crayons.,***** are my crayons.
flow,3_science_LS2,study skills seen complete the flow chart to revise the,Study skills seen complete the **** chart to revise the,"With a Democratic administration , party patronage would normally begin to flow to Mississippi if it had held its Democratic solidarity in the November election .","With a democratic administration , party patronage would normally begin to **** to mississippi if it had held its democratic solidarity in the november election .",The river flow is strong.,The river **** is strong.
some,3_science_LS2,some provide energy to the,**** provide energy to the,"Nevertheless , `` we feel that in the future Fulton County should receive some portion of these available funds '' , the jurors said .","Nevertheless , `` we feel that in the future fulton county should receive **** portion of these available funds '' , the jurors said .",I want some candy.,I want **** candy.
pleasant,3_science_LS2,fresh food has a pleasant smell while rotten food,Fresh food has a ******** smell while rotten food,"What is surprising and pleasant is that Mantle and Maris , under constant pressure from writers and photographers , are trying to be cooperative .","What is surprising and ******** is that mantle and maris , under constant pressure from writers and photographers , are trying to be cooperative .", The weather is pleasant today., the weather is ******** today.
bon,3_science_LS2,page nummber 3 bon proteins help to build,Page nummber 3 *** proteins help to build,"`` Bon jour '' , I said brightly , sitting up , which pulled the covers to her hips .","`` *** jour '' , i said brightly , sitting up , which pulled the covers to her hips .",,
system,3_science_LS2,system clean,****** clean,The Republicans must hold a primary under the county unit system -- a system which the party opposes in its platform .,The republicans must hold a primary under the county unit ****** -- a ****** which the party opposes in its platform .,Our body has a digestive system.,Our body has a digestive ******.
share,3_science_LS2,share the information with your,***** the information with your,Mitchell decried the high rate of unemployment in the state and said the Meyner administration and the Republican-controlled State Senate `` Must share the blame for this '' .,Mitchell decried the high rate of unemployment in the state and said the meyner administration and the republican-controlled state senate `` must ***** the blame for this '' .,Share your toys with friends.,***** your toys with friends.
individual,3_science_LS2,individual preferences some people prefer,********** preferences some people prefer,"The impression has nevertheless been given during these three days , despite Mr. Rusk's personal popularity , that the United States delegation came to Oslo in a somewhat tentative and exploratory frame of mind , more ready to listen and learn than to enunciate firm policy on a global scale with detailed application to individual danger spots .","The impression has nevertheless been given during these three days , despite mr. rusk's personal popularity , that the united states delegation came to oslo in a somewhat tentative and exploratory frame of mind , more ready to listen and learn than to enunciate firm policy on a global scale with detailed application to ********** danger spots .",Every individual snowflake is unique.,Every ********** snowflake is unique.
people,3_science_LS2,different people have different food choices,Different ****** have different food choices,"`` But I believe if people were better informed on this question , most of them would oppose it also .","`` but i believe if ****** were better informed on this question , most of them would oppose it also .",People live in houses.,****** live in houses.
notice,3_science_LS2,you will notice that some part of,You will ****** that some part of,Pelham said Sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .,Pelham said sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether ****** would have to first be given that reconsideration of the action would be sought .,Did you notice the new flowers?,Did you ****** the new flowers?
consuming,3_science_LS2,consuming burgers pizzas candies soft,********* burgers pizzas candies soft,Animals consuming 20 pounds feed daily receive 2 grams Dynafac ) .,Animals ********* 20 pounds feed daily receive 2 grams dynafac ) ., Too much sugar is consuming., too much sugar is *********.
germinate,3_science_LS2,the seeds germinate in about 2 weeks,The seeds ********* in about 2 weeks,"They germinate quickly , the tiny plants appearing in a week , and grow along lustily .","They ********* quickly , the tiny plants appearing in a week , and grow along lustily .", Seeds germinate into plants., seeds ********* into plants.
coriander,3_science_LS2,onion ladys finger bitter gourd coriander peppermint basil lemongrass etc,Onion ladys finger bitter gourd ********* peppermint basil lemongrass etc,"Each year millions of pounds of anise , caraway , mustard , celery , and coriander and the oils extracted from them are imported .","Each year millions of pounds of anise , caraway , mustard , celery , and ********* and the oils extracted from them are imported .",Coriander is used in cooking.,********* is used in cooking.
test,3_science_LS2,2 evnariantial aa experiential learning test for the presence of,2 evnariantial aa experiential learning **** for the presence of,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways .","The bond issue will go to the state courts for a friendly **** suit to **** the validity of the act , and then the sales will begin and contracts let for repair work on some of georgia's most heavily traveled highways .",We have a spelling test tomorrow.,We have a spelling **** tomorrow.
an,3_science_LS2,the newspaper did you observe an oily patch,The newspaper did you observe ** oily patch,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county gr**d jury said friday ** investigation of atl**ta's recent primary election produced `` no evidence '' that **y irregularities took place .,I saw an elephant.,I saw ** eleph**t.
till,3_science_LS2,of apple and chew it till it becomes tasteless,Of apple and chew it **** it becomes tasteless,Till seven times ? ?,**** seven times ? ?,Work till you finish.,Work **** you finish.
like,3_science_LS2,age elderly people may like to eat food items,Age elderly people may **** to eat food items,"Barber , who is in his 13th year as a legislator , said there `` are some members of our congressional delegation in Washington who would like to see it ( the resolution ) passed '' .","Barber , who is in his 13th year as a legislator , said there `` are some members of our congressional delegation in washington who would **** to see it ( the resolution ) passed '' .",I like ice cream.,I **** ice cream.
juice,3_science_LS2,swallow the juice only,Swallow the ***** only,"Add enough warmed cream , seasoned to taste with onion juice , to about half cover the chicken breasts .","Add enough warmed cream , seasoned to taste with onion ***** , to about half cover the chicken breasts .",I drink orange juice in the morning.,I drink orange ***** in the morning.
bitter,3_science_LS2,food may taste sour or bitter,Food may taste sour or ******,"There should even be no more bitter surprises in the UN General Assembly as to NATO members' votes , since a new ad hoc NATO committee has been set up so that in the future such topics as Angola will be discussed in advance .","There should even be no more ****** surprises in the un general assembly as to nato members' votes , since a new ad hoc nato committee has been set up so that in the future such topics as angola will be discussed in advance .", The medicine tasted bitter., the medicine tasted ******.
both,3_science_LS2,get eh n proteins from both plant and animal sources,Get eh n proteins from **** plant and animal sources,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .","The grand jury commented on a number of other topics , among them the atlanta and fulton county purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of **** governments '' .",Both my socks are red.,**** my socks are red.
get,3_science_LS2,we get eh n proteins from,We *** eh n proteins from,Dallas may get to hear a debate on horse race parimutuels soon between Reps. V. E. ( Red ) Berry and Joe Ratcliff .,Dallas may *** to hear a debate on horse race parimutuels soon between reps. v. e. ( red ) berry and joe ratcliff .,Did you get your lunch?,Did you *** your lunch?
