dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence
sue,"Rajasthan 
saag, makke ki roti Dal-batti-churma

Andhra Pradesh i :
Hyderabadi biryani KashmirRogan josh BiharLitti-chokha


Page nummber: 9
Words to Know Recap ab A Seale, eae sue aide ae 2

| that contains all the

II.",Rajasthan  saag makke ki roti Dalbattichurma  Andhra Pradesh i  Hyderabadi biryani KashmirRogan josh BiharLittichokha   Page nummber 9 Words to Know Recap ab A Seale eae sue aide ae 2   that contains all the  II,recap ab a seale eae sue aide ae 2 that
raw,"a balanced diet

Foods that Should be Eaten Raw

Some vegetables such as tomatoes,
onions, cucumbers, radishes and
carrots should be eaten raw.",a balanced diet  Foods that Should be Eaten Raw  Some vegetables such as tomatoes onions cucumbers radishes and carrots should be eaten raw,foods that should be eaten raw some vegetables such as
mustard,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,each of coconut powder rice mustard and cumin seeds
union,"Every state
My Prideg)

and union territory of India has its own unique and distinct food,
rr which reflects the countrys rich cultural
heritage and culinary traditions.",Every state My Prideg  and union territory of India has its own unique and distinct food rr which reflects the countrys rich cultural heritage and culinary traditions,every state my prideg and union territory of india has
growth,growth of new cells and repair of old cells.,growth of new cells and repair of old cells,growth of new cells and
essential,"Some
are essential for the normal growth and
development of the body.",Some are essential for the normal growth and development of the body,some are essential for the normal growth
seen,"aed Study Skills Seen

Complete the flow chart to revise the different components of food.",aed Study Skills Seen  Complete the flow chart to revise the different components of food,aed study skills seen complete the flow chart
am,"5° | aM Sa So ee
2, proteins aaa!",5  aM Sa So ee 2 proteins aaa,5 am sa so ee 2
sure,Make sure that the seeds are far enough apart.,Make sure that the seeds are far enough apart,make sure that the seeds are
derived,"This energy
is derived from the food we eat.",This energy is derived from the food we eat,this energy is derived from the food we
scan,"Virtual Tour

Scan the Q QR code and listen to the song to understand a we must
not eat junk food.",Virtual Tour  Scan the Q QR code and listen to the song to understand a we must not eat junk food,virtual tour scan the q qr code
terry,"Oh Richie, theyre tasty!

Terry said happily.",Oh Richie theyre tasty  Terry said happily,oh richie theyre tasty terry said happily
this,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,outcomes at the end of this lesson the learners will
state," state the importance of water and
roughage in the diet.", state the importance of water and roughage in the diet,state the importance of water
mixed,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,vitamins and minerals mixed fruit salad things you
each,Each nutrient has a particular function.,Each nutrient has a particular function,each nutrient has a particular
garden,"SESE It)Yourself
[= * Experiential Learning

Kitchen garden

Grow your own food in your kitchen garden.",SESE ItYourself   Experiential Learning  Kitchen garden  Grow your own food in your kitchen garden,sese ityourself experiential learning kitchen garden grow your own food
provide,"Some provide energy to the body, others help

to grow and repair worn out cells and tissues.",Some provide energy to the body others help  to grow and repair worn out cells and tissues,some provide energy to the body
refer,"[ Ne x >
' fa ath )

Refer to books or the Internet to know about junk food.", Ne x   fa ath   Refer to books or the Internet to know about junk food,ne x fa ath refer to books or the
chart,"aed Study Skills Seen

Complete the flow chart to revise the different components of food.",aed Study Skills Seen  Complete the flow chart to revise the different components of food,skills seen complete the flow chart to revise the different
keep,"Fats A
keep the body warm and give us twice the amount of ,

iven by carbohydrates.",Fats A keep the body warm and give us twice the amount of   iven by carbohydrates,fats a keep the body warm and
nearly,"=



Page nummber: 6
Water

Along with food, the body needs about 3 to 4 litres of
water daily, as nearly 70 per cent of the human body
is made up of water.",    Page nummber 6 Water  Along with food the body needs about 3 to 4 litres of water daily as nearly 70 per cent of the human body is made up of water,litres of water daily as nearly 70 per cent of
on,"Theyre for me!

Incy exclaimed next, as

Nancy cooked on the frying pan.",Theyre for me  Incy exclaimed next as  Nancy cooked on the frying pan,exclaimed next as nancy cooked on the frying pan
mae,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,roughage ee et cn mae eats sry it ee
long,"- ne |

It takes a long time for the body to digest fats.", ne   It takes a long time for the body to digest fats,ne it takes a long time for the body
these,What do these pictures tell you?,What do these pictures tell you,what do these pictures tell you
flow,"aed Study Skills Seen

Complete the flow chart to revise the different components of food.",aed Study Skills Seen  Complete the flow chart to revise the different components of food,study skills seen complete the flow chart to revise the
some,"Some provide energy to the body, others help

to grow and repair worn out cells and tissues.",Some provide energy to the body others help  to grow and repair worn out cells and tissues,some provide energy to the
pleasant,"« Fresh food has a pleasant smell, while rotten food may have a strong and
unpleasant smell.", Fresh food has a pleasant smell while rotten food may have a strong and unpleasant smell,fresh food has a pleasant smell while rotten food
bon,"Page nummber: 3
BON Proteins help to build the body.",Page nummber 3 BON Proteins help to build the body,page nummber 3 bon proteins help to build
system,system clean.,system clean,system clean
share,Share the information with your classmates.,Share the information with your classmates,share the information with your
individual,"Individual preferences: Some people prefer to eat vegetarian food, while
some others prefer to eat non-vegetarian food.",Individual preferences Some people prefer to eat vegetarian food while some others prefer to eat nonvegetarian food,individual preferences some people prefer
learning,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,ie a 4 ee th learning outcomes at the end
people,Different people have different food choices.,Different people have different food choices,different people have different food choices
notice,"You will notice that some part of the apple is left in your
mouth after you swallow the juice.",You will notice that some part of the apple is left in your mouth after you swallow the juice,you will notice that some part of
consuming,"Consuming burgers, pizzas, candies, soft drinks and chocolates too often is
not good for health.",Consuming burgers pizzas candies soft drinks and chocolates too often is not good for health,consuming burgers pizzas candies soft
germinate,The seeds germinate in about 2 weeks.,The seeds germinate in about 2 weeks,the seeds germinate in about 2 weeks
coriander,"Some of the
plants that can be grown in a kitchen garden are tomato, brinjal, chilly, onion,
lady's finger, bitter gourd, coriander, peppermint, basil, lemongrass, etc.",Some of the plants that can be grown in a kitchen garden are tomato brinjal chilly onion ladys finger bitter gourd coriander peppermint basil lemongrass etc,onion ladys finger bitter gourd coriander peppermint basil lemongrass etc
it,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,et cn mae eats sry it ee ie a 4
test,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,2 evnariantial aa experiential learning test for the presence of
an,"In which piece of the
newspaper did you observe an oily patch?",In which piece of the newspaper did you observe an oily patch,the newspaper did you observe an oily patch
till,"Take a piece of apple and chew it till it becomes
tasteless.",Take a piece of apple and chew it till it becomes tasteless,of apple and chew it till it becomes tasteless
like,"Age: Elderly people may like to eat food items that are soft and easy to
chew.",Age Elderly people may like to eat food items that are soft and easy to chew,age elderly people may like to eat food items
juice,Swallow the juice only.,Swallow the juice only,swallow the juice only
bitter,"« Fresh food tastes good, while rotten food may taste sour or bitter.", Fresh food tastes good while rotten food may taste sour or bitter,food may taste sour or bitter
both,"We get
eh, N proteins from both plant and animal sources.",We get eh N proteins from both plant and animal sources,get eh n proteins from both plant and animal sources
get,"We get
eh, N proteins from both plant and animal sources.",We get eh N proteins from both plant and animal sources,we get eh n proteins from
sour,"« Fresh food tastes good, while rotten food may taste sour or bitter.", Fresh food tastes good while rotten food may taste sour or bitter,while rotten food may taste sour or bitter
various,Our bodies need energy to work and carry out various activities.,Our bodies need energy to work and carry out various activities,to work and carry out various activities
amount,"Since the amount of nutrients is different in different types of food,
it is important that we eat all types of food.",Since the amount of nutrients is different in different types of food it is important that we eat all types of food,since the amount of nutrients is different
potatoes,"Foods such as rice, wheat, maize, bajra, sugar
and potatoes are rich in carbohydrates.",Foods such as rice wheat maize bajra sugar and potatoes are rich in carbohydrates,wheat maize bajra sugar and potatoes are rich in carbohydrates
us,Let us learn about the different components of food.,Let us learn about the different components of food,let us learn about the different
baby,"Similarly, a baby without teeth eats food items that can be swallowed
without chewing.",Similarly a baby without teeth eats food items that can be swallowed without chewing,similarly a baby without teeth eats food
territory,"Every state
My Prideg)

and union territory of India has its own unique and distinct food,
rr which reflects the countrys rich cultural
heritage and culinary traditions.",Every state My Prideg  and union territory of India has its own unique and distinct food rr which reflects the countrys rich cultural heritage and culinary traditions,state my prideg and union territory of india has its
protein,"a. a protein shake eI b. alemonade with lots of sugar (_|
Minu often falls ill.",a a protein shake eI b alemonade with lots of sugar  Minu often falls ill,a a protein shake ei b alemonade
aide,"Rajasthan 
saag, makke ki roti Dal-batti-churma

Andhra Pradesh i :
Hyderabadi biryani KashmirRogan josh BiharLitti-chokha


Page nummber: 9
Words to Know Recap ab A Seale, eae sue aide ae 2

| that contains all the

II.",Rajasthan  saag makke ki roti Dalbattichurma  Andhra Pradesh i  Hyderabadi biryani KashmirRogan josh BiharLittichokha   Page nummber 9 Words to Know Recap ab A Seale eae sue aide ae 2   that contains all the  II,ab a seale eae sue aide ae 2 that contains
should,"Vitamins and
minerals should, therefore, form a part of e CANS 60:
our regular diet.",Vitamins and minerals should therefore form a part of e CANS 60 our regular diet,vitamins and minerals should therefore form a part
in,"a vitamins and minerals | = |
PN s
IN water : |
'
!",a vitamins and minerals    PN s IN water    ,vitamins and minerals pn s in water
small,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,cut all the fruits into small pieces and remove the
is,"This energy
is derived from the food we eat.",This energy is derived from the food we eat,this energy is derived from the food
against,"[|

b. fight against diseases.",  b fight against diseases,b fight against diseases
become,"C)
Mary wants to become a weightlifter.",C Mary wants to become a weightlifter,c mary wants to become a weightlifter
function,Each nutrient has a particular function.,Each nutrient has a particular function,each nutrient has a particular function
slimy,"Rotten food, on the other hand, may
be discoloured and slimy to touch.",Rotten food on the other hand may be discoloured and slimy to touch,hand may be discoloured and slimy to touch
up,"=



Page nummber: 6
Water

Along with food, the body needs about 3 to 4 litres of
water daily, as nearly 70 per cent of the human body
is made up of water.",    Page nummber 6 Water  Along with food the body needs about 3 to 4 litres of water daily as nearly 70 per cent of the human body is made up of water,the human body is made up of water
body,"Food also helps the body grow, makes bones
and muscles strong, and protects the body from many diseases.",Food also helps the body grow makes bones and muscles strong and protects the body from many diseases,food also helps the body grow makes bones and
that,"The food that we eat contains useful substances
called nutrients.",The food that we eat contains useful substances called nutrients,the food that we eat contains useful
washed,"Food items that are eaten raw must,
however, be washed properly.",Food items that are eaten raw must however be washed properly,eaten raw must however be washed properly
grown,"Some of the
plants that can be grown in a kitchen garden are tomato, brinjal, chilly, onion,
lady's finger, bitter gourd, coriander, peppermint, basil, lemongrass, etc.",Some of the plants that can be grown in a kitchen garden are tomato brinjal chilly onion ladys finger bitter gourd coriander peppermint basil lemongrass etc,the plants that can be grown in a kitchen garden
rotten," list the harmful effects
of rotten food.", list the harmful effects of rotten food,list the harmful effects of rotten food
diversity,on India is known for its incredible diversity in food.,on India is known for its incredible diversity in food,is known for its incredible diversity in food
use,"You can even use a
milk carton or a plastic bottle as the pot.",You can even use a milk carton or a plastic bottle as the pot,you can even use a milk carton or
at,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,4 ee th learning outcomes at the end of this
do,What do these pictures tell you?,What do these pictures tell you,what do these pictures tell you
different,"Since the amount of nutrients is different in different types of food,
it is important that we eat all types of food.",Since the amount of nutrients is different in different types of food it is important that we eat all types of food,the amount of nutrients is different in different types of
diet,"+ define the terms nutrition, nutrients and balanced diet.", define the terms nutrition nutrients and balanced diet,terms nutrition nutrients and balanced diet
development,"Some
are essential for the normal growth and
development of the body.",Some are essential for the normal growth and development of the body,for the normal growth and development of the body
honey,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,orange grapes mango papaya banana honey method step 1 wash
lot,"Availability: People living in coastal areas generally eat a lot of fish and
other seafood as these foods are easily available.",Availability People living in coastal areas generally eat a lot of fish and other seafood as these foods are easily available,coastal areas generally eat a lot of fish and other
component,"e Critical Thinking

eee eew ewe ewe ew eww ew ew ew ew ew oe


Page nummber: 7
Now, classify the food items according to the component of food they are
rich in and complete this table.",e Critical Thinking  eee eew ewe ewe ew eww ew ew ew ew ew oe   Page nummber 7 Now classify the food items according to the component of food they are rich in and complete this table,food items according to the component of food they are
thinking,"Place each food item between the folds of a

> e Critical Thinking



Page nummber: 4
newspaper.",Place each food item between the folds of a   e Critical Thinking    Page nummber 4 newspaper,folds of a e critical thinking page nummber 4 newspaper
table,"Note your observation in the table
given below.",Note your observation in the table given below,note your observation in the table given below
other,"Rotten food, on the other hand, may
be discoloured and slimy to touch.",Rotten food on the other hand may be discoloured and slimy to touch,rotten food on the other hand may be discoloured
balanced,"+ define the terms nutrition, nutrients and balanced diet.", define the terms nutrition nutrients and balanced diet,the terms nutrition nutrients and balanced diet
salad,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,vitamins and minerals mixed fruit salad things you will need
also,"Food also helps the body grow, makes bones
and muscles strong, and protects the body from many diseases.",Food also helps the body grow makes bones and muscles strong and protects the body from many diseases,food also helps the body grow
cultural,"Every state
My Prideg)

and union territory of India has its own unique and distinct food,
rr which reflects the countrys rich cultural
heritage and culinary traditions.",Every state My Prideg  and union territory of India has its own unique and distinct food rr which reflects the countrys rich cultural heritage and culinary traditions,which reflects the countrys rich cultural heritage and culinary traditions
observation,"Note your observation in the table
given below.",Note your observation in the table given below,note your observation in the table given
end,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,th learning outcomes at the end of this lesson the
moist,"With the help of an adult, take some moist soil in a pot.",With the help of an adult take some moist soil in a pot,of an adult take some moist soil in a pot
his,"Which of the following will his mother
pack for him?",Which of the following will his mother pack for him,which of the following will his mother pack for him
digest,"- ne |

It takes a long time for the body to digest fats.", ne   It takes a long time for the body to digest fats,time for the body to digest fats
fracture,"& » )
IL,

Priti is recovering from a fracture in her hand.",   IL  Priti is recovering from a fracture in her hand,priti is recovering from a fracture in her hand
scatter,"Scatter some coriander seeds evenly in the pot and cover them with a thin
layer of soil.",Scatter some coriander seeds evenly in the pot and cover them with a thin layer of soil,scatter some coriander seeds evenly
easily,"Availability: People living in coastal areas generally eat a lot of fish and
other seafood as these foods are easily available.",Availability People living in coastal areas generally eat a lot of fish and other seafood as these foods are easily available,seafood as these foods are easily available
heritage,"Every state
My Prideg)

and union territory of India has its own unique and distinct food,
rr which reflects the countrys rich cultural
heritage and culinary traditions.",Every state My Prideg  and union territory of India has its own unique and distinct food rr which reflects the countrys rich cultural heritage and culinary traditions,reflects the countrys rich cultural heritage and culinary traditions
athlete,"Occupation: An athlete generally eats carbohydrate-rich food as he/she
requires more energy while playing a sport.",Occupation An athlete generally eats carbohydraterich food as heshe requires more energy while playing a sport,occupation an athlete generally eats carbohydraterich food
throwing,"It helps in digesting food, throwing out waste
and maintaining the body temperature.",It helps in digesting food throwing out waste and maintaining the body temperature,it helps in digesting food throwing out waste and maintaining
fat,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,test for the presence of fat collect a few groundnut
rotten," list the harmful effects
of rotten food.", list the harmful effects of rotten food,list the harmful effects of rotten food
add,Step 2: Add a spoon of honey and mix everything.,Step 2 Add a spoon of honey and mix everything,step 2 add a spoon of honey
listen,"Virtual Tour

Scan the Q QR code and listen to the song to understand a we must
not eat junk food.",Virtual Tour  Scan the Q QR code and listen to the song to understand a we must not eat junk food,the q qr code and listen to the song to
help,"Some provide energy to the body, others help

to grow and repair worn out cells and tissues.",Some provide energy to the body others help  to grow and repair worn out cells and tissues,energy to the body others help to grow and repair
the,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,page nummber 1 2 the food we eat lesson
time,"- ne |

It takes a long time for the body to digest fats.", ne   It takes a long time for the body to digest fats,ne it takes a long time for the body to
stay,"Food component Food items

Proteins
Carbohydrates =
Fats

Vitamins and minerals

|
Roughage

To grow well and stay healthy, we should
have a balanced diet.",Food component Food items  Proteins Carbohydrates  Fats  Vitamins and minerals   Roughage  To grow well and stay healthy we should have a balanced diet,roughage to grow well and stay healthy we should have
make,"Some vitamins and minerals help to
make our bones and teeth strong.",Some vitamins and minerals help to make our bones and teeth strong,vitamins and minerals help to make our bones and teeth
becomes,"Take a piece of apple and chew it till it becomes
tasteless.",Take a piece of apple and chew it till it becomes tasteless,and chew it till it becomes tasteless
virtual,"Virtual Tour

Scan the Q QR code and listen to the song to understand a we must
not eat junk food.",Virtual Tour  Scan the Q QR code and listen to the song to understand a we must not eat junk food,virtual tour scan the q
tour,"Virtual Tour

Scan the Q QR code and listen to the song to understand a we must
not eat junk food.",Virtual Tour  Scan the Q QR code and listen to the song to understand a we must not eat junk food,virtual tour scan the q qr
india,on India is known for its incredible diversity in food.,on India is known for its incredible diversity in food,on india is known for its
information,Share the information with your classmates.,Share the information with your classmates,share the information with your classmates
tablespoon,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,a few groundnut seeds a tablespoon each of coconut powder
how,How do proteins help us?,How do proteins help us,how do proteins help us
if,"If cooked,
most of the vitamins present in them
are lost.",If cooked most of the vitamins present in them are lost,if cooked most of the
injured,"@)

balanced diet: a diet Repair injured parts (pr

G
Wth (proteins)

nutrients, water and : Good health Energy to work
roughage in the right i Vitamins an aranerals) (carbohydrates and fats)
amounts !

)",  balanced diet a diet Repair injured parts pr  G Wth proteins  nutrients water and  Good health Energy to work roughage in the right i Vitamins an aranerals carbohydrates and fats amounts   ,balanced diet a diet repair injured parts pr g wth
workbook,"Workbook Connect
For more practice of the skills and concepts you have learnt in this lesson, go to Altura Workbook 3, Chapter 2.",Workbook Connect For more practice of the skills and concepts you have learnt in this lesson go to Altura Workbook 3 Chapter 2,workbook connect for more practice
far,Make sure that the seeds are far enough apart.,Make sure that the seeds are far enough apart,sure that the seeds are far enough apart
apple,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,salad things you will need apple orange grapes mango papaya
mother,"Which of the following will his mother
pack for him?",Which of the following will his mother pack for him,of the following will his mother pack for him
know,Solve the clues to know the nutrient!,Solve the clues to know the nutrient,solve the clues to know the nutrient
you,What do these pictures tell you?,What do these pictures tell you,what do these pictures tell you
water,"a vitamins and minerals | = |
PN s
IN water : |
'
!",a vitamins and minerals    PN s IN water    ,and minerals pn s in water
deficiency,"* Deficiency of vitamins causes diseases such as night blindness, scurvy and 
rickets.", Deficiency of vitamins causes diseases such as night blindness scurvy and  rickets,deficiency of vitamins causes diseases
critical,"Place each food item between the folds of a

> e Critical Thinking



Page nummber: 4
newspaper.",Place each food item between the folds of a   e Critical Thinking    Page nummber 4 newspaper,the folds of a e critical thinking page nummber 4
leaves,You can use freshly cut coriander leaves in salads!,You can use freshly cut coriander leaves in salads,can use freshly cut coriander leaves in salads
worn,"Some provide energy to the body, others help

to grow and repair worn out cells and tissues.",Some provide energy to the body others help  to grow and repair worn out cells and tissues,help to grow and repair worn out cells and tissues
such,"Foods such as rice, wheat, maize, bajra, sugar
and potatoes are rich in carbohydrates.",Foods such as rice wheat maize bajra sugar and potatoes are rich in carbohydrates,foods such as rice wheat maize
eat,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,1 2 the food we eat lesson schema pss ioaikut
think,"j2 1st
CENTU
SAtLLS

Food audit
Think about the food you had yesterday.",j2 1st CENTU SAtLLS  Food audit Think about the food you had yesterday,1st centu satlls food audit think about the food you
able,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,lesson the learners will be able to outline the necessity
safflower,"What do we get from the seeds of sunflower, mustard,
olive, groundnut, coconut, safflower and sesame plants?",What do we get from the seeds of sunflower mustard olive groundnut coconut safflower and sesame plants,sunflower mustard olive groundnut coconut safflower and sesame plants
ab,"Rajasthan 
saag, makke ki roti Dal-batti-churma

Andhra Pradesh i :
Hyderabadi biryani KashmirRogan josh BiharLitti-chokha


Page nummber: 9
Words to Know Recap ab A Seale, eae sue aide ae 2

| that contains all the

II.",Rajasthan  saag makke ki roti Dalbattichurma  Andhra Pradesh i  Hyderabadi biryani KashmirRogan josh BiharLittichokha   Page nummber 9 Words to Know Recap ab A Seale eae sue aide ae 2   that contains all the  II,9 words to know recap ab a seale eae sue
carton,"You can even use a
milk carton or a plastic bottle as the pot.",You can even use a milk carton or a plastic bottle as the pot,can even use a milk carton or a plastic bottle
plant,"We get
eh, N proteins from both plant and animal sources.",We get eh N proteins from both plant and animal sources,eh n proteins from both plant and animal sources
method,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,grapes mango papaya banana honey method step 1 wash and
said,"Pass me the peas, please.

Richie said to Mum.",Pass me the peas please  Richie said to Mum,me the peas please richie said to mum
right,"@)

balanced diet: a diet Repair injured parts (pr

G
Wth (proteins)

nutrients, water and : Good health Energy to work
roughage in the right i Vitamins an aranerals) (carbohydrates and fats)
amounts !

)",  balanced diet a diet Repair injured parts pr  G Wth proteins  nutrients water and  Good health Energy to work roughage in the right i Vitamins an aranerals carbohydrates and fats amounts   ,to work roughage in the right i vitamins an aranerals
schema,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,the food we eat lesson schema pss ioaikut 0 oul
hot,"For example, foods spoil if the weather is hot or if the food is not
stored properly.",For example foods spoil if the weather is hot or if the food is not stored properly,spoil if the weather is hot or if the food
twice,"Fats A
keep the body warm and give us twice the amount of ,

iven by carbohydrates.",Fats A keep the body warm and give us twice the amount of   iven by carbohydrates,body warm and give us twice the amount of iven
after,"You will notice that some part of the apple is left in your
mouth after you swallow the juice.",You will notice that some part of the apple is left in your mouth after you swallow the juice,is left in your mouth after you swallow the juice
consume,Children need to consume more proteins than adults.,Children need to consume more proteins than adults,children need to consume more proteins than adults
fresh,"food items that are eaten raw

Fresh and Rotten Foods

We must eat fresh food.",food items that are eaten raw  Fresh and Rotten Foods  We must eat fresh food,items that are eaten raw fresh and rotten foods we
present,"There are five types of
nutrients present in the food.",There are five types of nutrients present in the food,are five types of nutrients present in the food
useful,"The food that we eat contains useful substances
called nutrients.",The food that we eat contains useful substances called nutrients,food that we eat contains useful substances called nutrients
fill,"Aj QuickiCheck
Fill in the blanks.",Aj QuickiCheck Fill in the blanks,aj quickicheck fill in the blanks
nina,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,ioaikut 0 oul as ii nina igi es be carbohydrates
mix,Step 2: Add a spoon of honey and mix everything.,Step 2 Add a spoon of honey and mix everything,a spoon of honey and mix everything
left,"You will notice that some part of the apple is left in your
mouth after you swallow the juice.",You will notice that some part of the apple is left in your mouth after you swallow the juice,part of the apple is left in your mouth after
